symbol,year,period,file_name,file_url
GRPH.JK,2024,tw1,FinancialStatement-2024-I-GRPH.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/GRPH/FinancialStatement-2024-I-GRPH.xlsx
GRPH.JK,2024,tw2,FinancialStatement-2024-II-GRPH.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/GRPH/FinancialStatement-2024-II-GRPH.xlsx
KMDS.JK,2024,tw1,FinancialStatement-2024-I-KMDS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KMDS/FinancialStatement-2024-I-KMDS.xlsx
KMDS.JK,2024,tw2,FinancialStatement-2024-II-KMDS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/KMDS/FinancialStatement-2024-II-KMDS.xlsx
SSTM.JK,2024,tw1,FinancialStatement-2024-I-SSTM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SSTM/FinancialStatement-2024-I-SSTM.xlsx
SSTM.JK,2024,tw2,FinancialStatement-2024-II-SSTM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/SSTM/FinancialStatement-2024-II-SSTM.xlsx
KRYA.JK,2024,tw1,FinancialStatement-2024-I-KRYA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KRYA/FinancialStatement-2024-I-KRYA.xlsx
KRYA.JK,2024,tw2,FinancialStatement-2024-II-KRYA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/KRYA/FinancialStatement-2024-II-KRYA.xlsx
APII.JK,2024,tw1,FinancialStatement-2024-I-APII.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/APII/FinancialStatement-2024-I-APII.xlsx
APII.JK,2024,tw2,FinancialStatement-2024-II-APII.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/APII/FinancialStatement-2024-II-APII.xlsx
ACRO.JK,2024,tw1,FinancialStatement-2024-I-ACRO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ACRO/FinancialStatement-2024-I-ACRO.xlsx
ACRO.JK,2024,tw2,FinancialStatement-2024-II-ACRO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/ACRO/FinancialStatement-2024-II-ACRO.xlsx
GUNA.JK,2024,tw2,FinancialStatement-2024-II-GUNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/GUNA/FinancialStatement-2024-II-GUNA.xlsx
SNLK.JK,2024,tw1,FinancialStatement-2024-I-SNLK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SNLK/FinancialStatement-2024-I-SNLK.xlsx
SNLK.JK,2024,tw2,FinancialStatement-2024-II-SNLK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/SNLK/FinancialStatement-2024-II-SNLK.xlsx
TYRE.JK,2024,tw1,FinancialStatement-2024-I-TYRE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/TYRE/FinancialStatement-2024-I-TYRE.xlsx
