symbol,year,period,file_name,file_url
DPNS.JK,2024,tw1,FinancialStatement-2024-I-DPNS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/DPNS/FinancialStatement-2024-I-DPNS.xlsx
DPNS.JK,2024,tw2,FinancialStatement-2024-II-DPNS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/DPNS/FinancialStatement-2024-II-DPNS.xlsx
SCPI.JK,2024,tw1,FinancialStatement-2024-I-SCPI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SCPI/FinancialStatement-2024-I-SCPI.xlsx
SCPI.JK,2024,tw2,FinancialStatement-2024-II-SCPI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/SCPI/FinancialStatement-2024-II-SCPI.xlsx
HADE.JK,2024,tw1,FinancialStatement-2024-I-HADE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/HADE/FinancialStatement-2024-I-HADE.xlsx
HADE.JK,2024,tw2,FinancialStatement-2024-II-HADE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/HADE/FinancialStatement-2024-II-HADE.xlsx
ALKA.JK,2024,tw1,FinancialStatement-2024-I-ALKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ALKA/FinancialStatement-2024-I-ALKA.xlsx
ALKA.JK,2024,tw2,FinancialStatement-2024-II-ALKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/ALKA/FinancialStatement-2024-II-ALKA.xlsx
LRNA.JK,2024,tw1,FinancialStatement-2024-I-LRNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/LRNA/FinancialStatement-2024-I-LRNA.xlsx
LRNA.JK,2024,tw2,FinancialStatement-2024-II-LRNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/LRNA/FinancialStatement-2024-II-LRNA.xlsx
