symbol,year,period,file_name,file_url
HEAL.JK,2023,tw2,FinancialStatement-2023-II-HEAL.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HEAL/FinancialStatement-2023-II-HEAL.xlsx
SFAN.JK,2023,tw2,FinancialStatement-2023-II-SFAN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SFAN/FinancialStatement-2023-II-SFAN.xlsx
BJBR.JK,2023,tw2,FinancialStatement-2023-II-BJBR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BJBR/FinancialStatement-2023-II-BJBR.xlsx
NETV.JK,2023,tw2,FinancialStatement-2023-II-NETV.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/NETV/FinancialStatement-2023-II-NETV.xlsx
JAWA.JK,2023,tw2,FinancialStatement-2023-II-JAWA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/JAWA/FinancialStatement-2023-II-JAWA.xlsx
GSMF.JK,2023,tw2,FinancialStatement-2023-II-GSMF.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GSMF/FinancialStatement-2023-II-GSMF.xlsx
LSIP.JK,2023,tw2,FinancialStatement-2023-II-LSIP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/LSIP/FinancialStatement-2023-II-LSIP.xlsx
IPPE.JK,2023,tw2,FinancialStatement-2023-II-IPPE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/IPPE/FinancialStatement-2023-II-IPPE.xlsx
DYAN.JK,2023,tw2,FinancialStatement-2023-II-DYAN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/DYAN/FinancialStatement-2023-II-DYAN.xlsx
AMAG.JK,2023,tw2,FinancialStatement-2023-II-AMAG.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/AMAG/FinancialStatement-2023-II-AMAG.xlsx
BWPT.JK,2023,tw2,FinancialStatement-2023-II-BWPT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BWPT/FinancialStatement-2023-II-BWPT.xlsx
TMAS.JK,2023,tw2,FinancialStatement-2023-II-TMAS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TMAS/FinancialStatement-2023-II-TMAS.xlsx
DART.JK,2023,tw2,FinancialStatement-2023-II-DART.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/DART/FinancialStatement-2023-II-DART.xlsx
INTA.JK,2023,tw2,FinancialStatement-2023-II-INTA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/INTA/FinancialStatement-2023-II-INTA.xlsx
KIOS.JK,2023,tw2,FinancialStatement-2023-II-KIOS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/KIOS/FinancialStatement-2023-II-KIOS.xlsx
JARR.JK,2023,tw2,FinancialStatement-2023-II-JARR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/JARR/FinancialStatement-2023-II-JARR.xlsx
HALO.JK,2023,tw2,FinancialStatement-2023-II-HALO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HALO/FinancialStatement-2023-II-HALO.xlsx
ETWA.JK,2023,tw2,FinancialStatement-2023-II-ETWA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ETWA/FinancialStatement-2023-II-ETWA.xlsx
LAND.JK,2023,tw2,FinancialStatement-2023-II-LAND.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/LAND/FinancialStatement-2023-II-LAND.xlsx
HRME.JK,2023,tw2,FinancialStatement-2023-II-HRME.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HRME/FinancialStatement-2023-II-HRME.xlsx
KOBX.JK,2023,tw2,FinancialStatement-2023-II-KOBX.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/KOBX/FinancialStatement-2023-II-KOBX.xlsx
MERK.JK,2023,tw2,FinancialStatement-2023-II-MERK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MERK/FinancialStatement-2023-II-MERK.xlsx
AKRA.JK,2023,tw2,FinancialStatement-2023-II-AKRA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/AKRA/FinancialStatement-2023-II-AKRA.xlsx
GEMS.JK,2023,tw2,FinancialStatement-2023-II-GEMS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GEMS/FinancialStatement-2023-II-GEMS.xlsx
BUKA.JK,2023,tw2,FinancialStatement-2023-II-BUKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BUKA/FinancialStatement-2023-II-BUKA.xlsx
ASHA.JK,2023,tw2,FinancialStatement-2023-II-ASHA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ASHA/FinancialStatement-2023-II-ASHA.xlsx
GTSI.JK,2023,tw2,FinancialStatement-2023-II-GTSI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GTSI/FinancialStatement-2023-II-GTSI.xlsx
ADMF.JK,2023,tw2,FinancialStatement-2023-II-ADMF.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ADMF/FinancialStatement-2023-II-ADMF.xlsx
SMAR.JK,2023,tw2,FinancialStatement-2023-II-SMAR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SMAR/FinancialStatement-2023-II-SMAR.xlsx
MDLN.JK,2023,tw2,FinancialStatement-2023-II-MDLN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MDLN/FinancialStatement-2023-II-MDLN.xlsx
SIDO.JK,2023,tw2,FinancialStatement-2023-II-SIDO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SIDO/FinancialStatement-2023-II-SIDO.xlsx
