symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
KRAS.JK,2024-03-31,1,"{""total_current_asset"": 631122000.0, ""total_non_current_asset"": 2163128000.0, ""total_asset"": 2794250000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 97853000.0, ""total_current_liabilities"": 2107769000.0, ""total_non_current_liabilities"": 226746000.0, ""total_liabilities"": 2334515000.0, ""total_equity"": 459735000.0, ""total_debt"": 1817059000.0, ""stockholders_equity"": 488965000.0}","{""total_revenue"": 231793000.0, ""cost_of_revenue"": 211852000.0, ""gross_income"": 19941000.0, ""operating_expense"": 26924000.0, ""operating_income"": 46865000.0, ""non_operating_income_or_loss"": -72742000.0, ""pretax_income"": -25877000.0, ""income_taxes"": -1469000.0, ""minorities"": 1797000.0, ""net_income"": -29143000.0, ""interest_expense_non_operating"": 30606000.0, ""ebit"": 4729000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 19428666.666666668}","{""operating_cash_flow"": -20577000.0, ""investing_cash_flow"": 2741000.0, ""financing_cash_flow"": -6057000.0, ""net_increased_decreased"": -23893000.0, ""capital_expenditure"": 1235000.0, ""free_cash_flow"": -19342000.0}"
ABDA.JK,2024-03-31,6,"{""total_current_asset"": null, ""total_non_current_asset"": null, ""total_asset"": 2713894490000.0, ""cash_only"": 681964220000.0, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": null, ""total_current_liabilities"": null, ""total_non_current_liabilities"": null, ""total_liabilities"": 1199926707000.0, ""total_equity"": 1513967783000.0, ""total_debt"": null, ""stockholders_equity"": 1513917291000.0}","{""total_revenue"": 249566516000.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expense"": null, ""operating_income"": 12043662000.0, ""non_operating_income_or_loss"": null, ""pretax_income"": 10731847000.0, ""income_taxes"": 1311815000.0, ""minorities"": null, ""net_income"": 12043662000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 633995.4736842106}","{""operating_cash_flow"": -6882170000.0, ""investing_cash_flow"": -33805989000.0, ""financing_cash_flow"": 0.0, ""net_increased_decreased"": -40688159000.0, ""capital_expenditure"": 2212204000.0, ""free_cash_flow"": -4669966000.0}"
GTBO.JK,2024-03-31,1,"{""total_current_asset"": 15366120.0, ""total_non_current_asset"": 46170869.0, ""total_asset"": 61536989.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 6779310.0, ""total_current_liabilities"": 7854764.0, ""total_non_current_liabilities"": 2071576.0, ""total_liabilities"": 9926340.0, ""total_equity"": 51610649.0, ""total_debt"": null, ""stockholders_equity"": 51610649.0}","{""total_revenue"": 11641181.0, ""cost_of_revenue"": 5683204.0, ""gross_income"": 5957977.0, ""operating_expense"": 3470883.0, ""operating_income"": 9428860.0, ""non_operating_income_or_loss"": -6980610.0, ""pretax_income"": 2448250.0, ""income_taxes"": -538615.0, ""minorities"": null, ""net_income"": 1909635.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1909635000.0}","{""operating_cash_flow"": -573373.0, ""investing_cash_flow"": null, ""financing_cash_flow"": -700000.0, ""net_increased_decreased"": -1273373.0, ""capital_expenditure"": null, ""free_cash_flow"": null}"
PEVE.JK,2024-03-31,1,"{""total_current_asset"": 983495726422.0, ""total_non_current_asset"": 29346884224.0, ""total_asset"": 1012842610646.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 4094962498.0, ""total_current_liabilities"": 727006761393.0, ""total_non_current_liabilities"": 43254196363.0, ""total_liabilities"": 770260957756.0, ""total_equity"": 242581652890.0, ""total_debt"": 88739354990.0, ""stockholders_equity"": 242581498804.0}","{""total_revenue"": 714492921204.0, ""cost_of_revenue"": 628603028721.0, ""gross_income"": 85889892483.0, ""operating_expense"": 70745894158.0, ""operating_income"": 156635786641.0, ""non_operating_income_or_loss"": -143001689744.0, ""pretax_income"": 13634096897.0, ""income_taxes"": -2999501317.0, ""minorities"": -627387.0, ""net_income"": 10635222967.0, ""interest_expense_non_operating"": 1500401043.0, ""ebit"": 15134497940.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1766648333.3887045}","{""operating_cash_flow"": -14276860475.0, ""investing_cash_flow"": -1953983083.0, ""financing_cash_flow"": 15833706464.0, ""net_increased_decreased"": -397137094.0, ""capital_expenditure"": 2093622724.0, ""free_cash_flow"": -12183237751.0}"
ALKA.JK,2024-03-31,1,"{""total_current_asset"": 318038806000.0, ""total_non_current_asset"": 11359202000.0, ""total_asset"": 329398008000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 265030566000.0, ""total_current_liabilities"": 117903369000.0, ""total_non_current_liabilities"": 2366481000.0, ""total_liabilities"": 120269850000.0, ""total_equity"": 209128158000.0, ""total_debt"": 86170000.0, ""stockholders_equity"": 209058461000.0}","{""total_revenue"": 13822661000.0, ""cost_of_revenue"": 8788779000.0, ""gross_income"": 5033882000.0, ""operating_expense"": 3192148000.0, ""operating_income"": 8226030000.0, ""non_operating_income_or_loss"": -9805475000.0, ""pretax_income"": -1579445000.0, ""income_taxes"": 332000.0, ""minorities"": 43258000.0, ""net_income"": -1622371000.0, ""interest_expense_non_operating"": 20254000.0, ""ebit"": -1559191000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 506990.9375}","{""operating_cash_flow"": -49207852000.0, ""investing_cash_flow"": -3687325000.0, ""financing_cash_flow"": -74626000.0, ""net_increased_decreased"": -52969803000.0, ""capital_expenditure"": 3687325000.0, ""free_cash_flow"": -45520527000.0}"
RGAS.JK,2024-03-31,1,"{""total_current_asset"": 66756963181.0, ""total_non_current_asset"": 23273873640.0, ""total_asset"": 90030836821.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 26568371584.0, ""total_current_liabilities"": 2593202094.0, ""total_non_current_liabilities"": 728824537.0, ""total_liabilities"": 3322026631.0, ""total_equity"": 86708810190.0, ""total_debt"": null, ""stockholders_equity"": 86626858399.0}","{""total_revenue"": 20530026602.0, ""cost_of_revenue"": 14407709664.0, ""gross_income"": 6122316938.0, ""operating_expense"": 4521856005.0, ""operating_income"": 10644172943.0, ""non_operating_income_or_loss"": -8817534226.0, ""pretax_income"": 1826638717.0, ""income_taxes"": -615650315.0, ""minorities"": -1421194.0, ""net_income"": 1212409596.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1460734453.0120482}","{""operating_cash_flow"": 3867852695.0, ""investing_cash_flow"": -708066423.0, ""financing_cash_flow"": null, ""net_increased_decreased"": 3159786272.0, ""capital_expenditure"": 721042460.0, ""free_cash_flow"": 4588895155.0}"
NTBK.JK,2024-03-31,1,"{""total_current_asset"": 109402085569.0, ""total_non_current_asset"": 21646584704.0, ""total_asset"": 131048670273.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 12359461576.0, ""total_current_liabilities"": 30620728465.0, ""total_non_current_liabilities"": 5367895999.0, ""total_liabilities"": 35988624464.0, ""total_equity"": 95060045809.0, ""total_debt"": 896656430.0, ""stockholders_equity"": 95060045809.0}","{""total_revenue"": 21749289479.0, ""cost_of_revenue"": 18338094906.0, ""gross_income"": 3411194573.0, ""operating_expense"": 3353721536.0, ""operating_income"": 6764916109.0, ""non_operating_income_or_loss"": -6667735875.0, ""pretax_income"": 97180234.0, ""income_taxes"": -85501077.0, ""minorities"": null, ""net_income"": 11679157.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 2919789250.0}","{""operating_cash_flow"": 746730930.0, ""investing_cash_flow"": -75221500.0, ""financing_cash_flow"": -10084765817.0, ""net_increased_decreased"": -9413256387.0, ""capital_expenditure"": 75221500.0, ""free_cash_flow"": 821952430.0}"
ASLC.JK,2024-03-31,1,"{""total_current_asset"": 564469332403.0, ""total_non_current_asset"": 329055142018.0, ""total_asset"": 893524474421.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 243832550354.0, ""total_current_liabilities"": 156280089394.0, ""total_non_current_liabilities"": 16366975424.0, ""total_liabilities"": 172647064818.0, ""total_equity"": 720877409603.0, ""total_debt"": 4000000000.0, ""stockholders_equity"": 706955677401.0}","{""total_revenue"": 183318653745.0, ""cost_of_revenue"": 119989003004.0, ""gross_income"": 63329650741.0, ""operating_expense"": 48639734205.0, ""operating_income"": 111969384946.0, ""non_operating_income_or_loss"": -90857112000.0, ""pretax_income"": 21112272946.0, ""income_taxes"": -4161720980.0, ""minorities"": 1602587446.0, ""net_income"": 15347964520.0, ""interest_expense_non_operating"": 805182520.0, ""ebit"": 21917455466.0, ""ebitda"": null, ""diluted_shares_outstanding"": 12789970433.333334}","{""operating_cash_flow"": -2097784610.0, ""investing_cash_flow"": -1110811005.0, ""financing_cash_flow"": 236289560.0, ""net_increased_decreased"": -2972306055.0, ""capital_expenditure"": 7003297913.0, ""free_cash_flow"": 4905513303.0}"
MIRA.JK,2024-03-31,3,"{""total_current_asset"": 33288312562.0, ""total_non_current_asset"": 206057756183.0, ""total_asset"": 239346068745.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 945273827.0, ""total_current_liabilities"": 45347802558.0, ""total_non_current_liabilities"": 33911943226.0, ""total_liabilities"": 79259745784.0, ""total_equity"": 160086322961.0, ""total_debt"": 51458932803.0, ""stockholders_equity"": 158671207711.0}","{""total_revenue"": 13319057227.0, ""cost_of_revenue"": 14374792443.0, ""gross_income"": -1055735216.0, ""operating_expense"": 1310034149.0, ""operating_income"": 254298933.0, ""non_operating_income_or_loss"": -1399969876.0, ""pretax_income"": -1145670943.0, ""income_taxes"": -511929285.0, ""minorities"": -342131043.0, ""net_income"": -1315469185.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 3986270257.5757575}","{""operating_cash_flow"": 1352683172.0, ""investing_cash_flow"": 584592950.0, ""financing_cash_flow"": -1406888224.0, ""net_increased_decreased"": 530387898.0, ""capital_expenditure"": 335159303.0, ""free_cash_flow"": 1687842475.0}"
TFAS.JK,2024-03-31,1,"{""total_current_asset"": 208118800523.0, ""total_non_current_asset"": 37996806988.0, ""total_asset"": 246115607511.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3116769360.0, ""total_current_liabilities"": 57917846720.0, ""total_non_current_liabilities"": 2418388812.0, ""total_liabilities"": 60336235532.0, ""total_equity"": 185779371979.0, ""total_debt"": 57102829021.0, ""stockholders_equity"": 183527270859.0}","{""total_revenue"": 117864447071.0, ""cost_of_revenue"": 112968000511.0, ""gross_income"": 4896446560.0, ""operating_expense"": 4959949191.0, ""operating_income"": 9856395751.0, ""non_operating_income_or_loss"": -11812007463.0, ""pretax_income"": -1955611712.0, ""income_taxes"": null, ""minorities"": -22076305.0, ""net_income"": -1933535407.0, ""interest_expense_non_operating"": 1914059826.0, ""ebit"": -41551886.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1652594364.9572651}","{""operating_cash_flow"": -194707146.0, ""investing_cash_flow"": 1180835000.0, ""financing_cash_flow"": -1512178124.0, ""net_increased_decreased"": -526050270.0, ""capital_expenditure"": null, ""free_cash_flow"": null}"
