symbol,period,year,cash_only,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,total_revenue,gross_income,pretax_income,operating_income,net_income,net_operating_cash_flow
JKSW.JK,tw1,2024,5561072240,118480081710.0,154940947768,10656994060.0,649917324762,-494976376994,-494976376994,,,,-1095708706,-1095708706,-644164619
JKSW.JK,tw2,2024,6046935927,126335579783.0,164261649245,20190665655.0,659450996357,-495189347112,-495189347112,,,,-1308678824,-1308678824,-158300932
NTBK.JK,tw1,2024,12359461576,21646584704.0,131048670273,30620728465.0,35988624464,95060045809,95060045809,21749289479.0,3411194573.0,97180234.0,11679157,11679157,746730930
NTBK.JK,tw2,2024,5901848680,21354649499.0,137953286729,37884154916.0,43358880631,94594406098,94594406098,38119860373.0,6545377931.0,213487394.0,18249328,18249328,-10206662742
ALTO.JK,tw1,2024,6720511127,845364774993.0,972478400028,163557807106.0,650771628410,320248869167,321706771618,27984849521.0,6111153828.0,626604267.0,-2059118878,-2059118878,-842764569
ALTO.JK,tw2,2024,3407027966,840685906891.0,957041198862,155896661082.0,644046445175,311579746400,312994753687,44369676093.0,4044361011.0,-8529014828.0,-10771136809,-10771136809,-5169757878
HOPE.JK,tw1,2024,48965007,68222233927.0,176943117421,63741909024.0,65789525984,111143312822,111153591437,3913107214.0,-219488277.0,-3946250035.0,-3909702106,-3909702106,-22588942
SMLE.JK,tw1,2024,66327254076,24653162228.0,177763156362,65759869182.0,75121054187,102642102175,102642102175,58094652340.0,14879991090.0,1451060802.0,820283123,820283123,-11726103320
SMLE.JK,tw2,2024,67151266523,35195485400.0,183639539406,67452759635.0,80719286937,102919324059,102920252469,113564424601.0,28639758000.0,1668278358.0,947351743,947351743,-4728657882
EPAC.JK,tw1,2024,2675436165,258187244598.0,283136128809,45650478918.0,202229428912,87318041752,80906699897,31026684262.0,4027912796.0,-4735867370.0,-4715371476,-4715371476,4149648221
EPAC.JK,tw2,2024,2500109866,252732203680.0,276537227816,45271539789.0,200461537160,82355296245,76075690656,62379422017.0,6898392820.0,-8873941668.0,-9193027776,-9193027776,5807049109
TAMA.JK,tw1,2024,2427040395,173461226144.0,192152105976,53584164811.0,139011063716,53141042260,53141042260,10226582924.0,4520314255.0,574280688.0,186723222,186723222,4236759402
TAMA.JK,tw2,2024,960019441,173116541766.0,184458961839,50770321590.0,135248965960,49209995879,49209995879,16542939858.0,6784481974.0,-3176784576.0,-3744323159,-3744323159,3302737020
ITIC.JK,tw1,2024,5642578113,417108827473.0,595793757948,140815237543.0,192390196447,403403561501,403403561501,83557711137.0,17762267486.0,7736534192.0,5462951873,5462951873,-25159475065
ITIC.JK,tw2,2024,1021397187,415361933314.0,588666196518,139191130011.0,187008182202,401658014316,401658014316,163371468184.0,32766952191.0,11775250944.0,8411606007,8411606007,-14698264358
GDYR.JK,tw1,2024,8081989,67559528.0,111146867,56253605.0,57863881,53282986,53282986,40501718.0,5211541.0,2914328.0,2284996,2284996,5695783
GDYR.JK,tw2,2024,10135540,63504468.0,112477258,55547772.0,56991730,55485528,55485528,81581149.0,10516964.0,5719271.0,4487538,4487538,12278850
GRPH.JK,tw1,2024,3186448241,85058601376.0,90478265938,4966868904.0,19148837517,71329428421,71329428421,6624935493.0,2981905034.0,216595991.0,233314542,233314542,399255861
GRPH.JK,tw2,2024,1528940149,86733757567.0,90945492667,4700682231.0,18690158169,72255334498,72255334498,14279668715.0,7279821642.0,1308903886.0,1159220619,1159220619,1669850920
KMDS.JK,tw1,2024,46454535602,94594431621.0,266477236519,40996573929.0,45575951627,220566460609,220901284892,88303390069.0,28855669868.0,16874105961.0,13288733841,13288733841,9911116837
