symbol,period,year,cash_only,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,total_revenue,gross_income,pretax_income,operating_income,net_income,net_operating_cash_flow
DAYA.JK,tw2,2024,42046287000,278471762000.0,678714400000,542992531000.0,644215433000,34498967000,34498967000,945771211000.0,320275184000.0,22516754000.0,17072905000,17072905000,-8926419000
LABS.JK,tw2,2024,2152004684,45315383457.0,162463180735,60252138608.0,93172339918,69290754024,69290840817,64534441378.0,27610769060.0,1767644037.0,1767644037,1767644037,-9276646292
ISEA.JK,tw2,2024,565886797,79822156428.0,347660437458,228192560972.0,237494444229,110165993229,110165993229,106697349798.0,37476164192.0,1392471139.0,871919459,871919459,-8837581318
EAST.JK,tw1,2024,4665365893,468114547317.0,489754567374,12157742875.0,20744420518,469010146856,469010146856,22495142080.0,16539126519.0,8416466126.0,6845440609,6845440609,4699937968
EAST.JK,tw2,2024,3151941481,467333125725.0,487556866110,17319565064.0,26269158874,461287707236,461287707236,48505948536.0,36172208900.0,19041312765.0,15422302067,15422302067,17122411888
NANO.JK,tw2,2024,2149544126,101885930480.0,196791098062,24889655220.0,26855592227,163687886737,169935505835,49062692066.0,12533955123.0,1786671056.0,1325249658,1325249658,-4292096169
IKAN.JK,tw1,2024,1470221152,27824038750.0,136518846871,59387231120.0,62630782814,73888064057,73888064057,32875351914.0,4524724652.0,175039723.0,203016310,203016310,4760326127
IKAN.JK,tw2,2024,1457904282,26796534709.0,135214163833,58209518083.0,61264210218,73949953615,73949953615,55776003064.0,9898524755.0,222984207.0,266030491,266030491,-2759997445
BAPI.JK,tw1,2024,18307750,12835470.0,671768595536,88159759316.0,245422936442,426345659094,426345659094,595000000.0,187698395.0,-51153626.0,-66028626,-66028626,-2807074
OLIV.JK,tw2,2024,369000183,12090603065.0,58204151318,8506115077.0,9838080260,48356522804,48366071058,5327497742.0,1018593838.0,-2554209749.0,-2554209749,-2554209749,-1193861413
FWCT.JK,tw1,2024,65321000161,335790000279.0,608150916478,127777266502.0,302753320105,305376088986,305397596373,281514280709.0,48589557277.0,26921756115.0,20959927922,20959927922,5049891250
FWCT.JK,tw2,2024,11038018762,337640137612.0,605699313721,148529757366.0,317722202898,287953062036,287977110823,509582265242.0,66028720389.0,21531430285.0,16720693959,16720693959,-58119756394
ATAP.JK,tw1,2024,9800621494,12805381327.0,112854716115,32816769115.0,33134174437,79720541678,79720541678,5546417419.0,2408574175.0,208146328.0,130232545,130232545,-191979171
FIMP.JK,tw2,2024,7162819,7184338552.0,32060586152,3460445896.0,4006422818,28054163334,28054163334,0.0,-2364289361.0,-2633121884.0,-2633121884,-2633121884,-55500237
BATR.JK,tw2,2024,23451337953,89939540063.0,207301829874,17162886988.0,64117261894,141876314307,143184567980,41636732128.0,12687591244.0,2790601205.0,2673618597,2673618597,-22186111437
AYLS.JK,tw1,2024,282311630,3250463632.0,45739609005,1555688200.0,1624643993,44114965012,44114965012,308108107.0,34544107.0,-395367539.0,-348898419,-348898419,28430205
AYLS.JK,tw2,2024,300530322,3296932753.0,45247020466,1521081309.0,1593268828,43653751638,43653751638,625945945.0,85945945.0,-907502273.0,-814564032,-814564032,46648897
TRUE.JK,tw1,2024,14109835438,237764733946.0,782861696478,236087131052.0,470809750389,310777897985,312051946089,23439539623.0,3733668992.0,-5296085100.0,-5416848858,-5416848858,9727215206
TRUE.JK,tw2,2024,5501813774,244531351699.0,782347630188,242391285102.0,473129325843,307944256241,309218304345,49841185986.0,11042216421.0,-8223891897.0,-8344655655,-8344655655,8828813654
AHAP.JK,tw1,2024,16491064986,,1183939340862,,975899837431,208039503431,208039503431,,,-7977240976.0,-7977240976,-7977240976,1118996964
AHAP.JK,tw2,2024,16011872483,,1184145195301,,968071074237,216074121064,216074121064,,,68680622.0,68680622,68680622,39474189398
SBMA.JK,tw1,2024,5385300759,248813009706.0,283452991549,30730603280.0,65988879615,217464111934,217464111934,28890947984.0,13531436644.0,2837414931.0,2015085949,2015085949,3041692181
BSML.JK,tw1,2024,2938513069,211913293806.0,262876284975,48585399209.0,135150508663,127721118263,127725776312,58143189516.0,12567848794.0,4695541636.0,4185855200,4185855200,8866808439
BSML.JK,tw2,2024,3801286121,210218541453.0,251946315703,39706300562.0,126231496921,125710526674,125714818782,122968046001.0,21216711453.0,6647878722.0,5172262170,5172262170,15705511195
SCNP.JK,tw1,2024,125466422178,157682230600.0,415990888907,48659496538.0,59211951024,356777396090,356778937883,62410848736.0,6656551317.0,3340468524.0,3340468524,3340468524,12402712646
SCNP.JK,tw2,2024,128721175743,155446239306.0,435286045364,60126446407.0,70535674680,364749050084,364750370684,126376997722.0,14895431917.0,12561901325.0,12561901325,12561901325,18434095878
KLAS.JK,tw1,2024,10212357897,218901037856.0,364926417098,90207833202.0,153408467562,211547944031,211517949536,32964158473.0,7970150897.0,-234980185.0,-592282422,-592282422,4568564768
KLAS.JK,tw2,2024,6400356853,212741039535.0,353891451087,91151088738.0,138425858515,215396261428,215465592572,68013204089.0,18338883603.0,4082871124.0,3355360614,3355360614,11387438114
SWID.JK,tw2,2024,24228042017,189775216287.0,391496048357,83554769288.0,164805295649,226690752708,226690752708,58383636321.0,38514312063.0,9172805930.0,6176362407,6176362407,-29609555974
KBAG.JK,tw1,2024,16949792865,173857683104.0,421207992412,27567358378.0,44984755716,376099014714,376223236696,7607960250.0,1457894958.0,-4388772416.0,-4388772416,-4388772416,5320786058
BIKE.JK,tw1,2024,22174913,3020740884.0,249129253303,116647801487.0,118914337608,130214915695,130214915695,54586367398.0,6742329911.0,1899032225.0,1215373825,1215373825,1856837665
BIKE.JK,tw2,2024,23026311,3545901533.0,262220758329,139514672438.0,141536354490,120684403839,120684403839,160865047656.0,18936869380.0,6906546530.0,4670714607,4670714607,12916024881
KBLM.JK,tw1,2024,88570869667,1038117703960.0,1568274343763,280851630390.0,302164978097,1266109365666,1266109365666,452530311637.0,10839049452.0,2133000866.0,1360262555,1360262555,33483014702
KBLM.JK,tw2,2024,19058768694,1064536269207.0,1636597897459,329064452060.0,350696059838,1285901837621,1285901837621,877882210401.0,57342685109.0,39025871577.0,30112734510,30112734510,-2749267140
EKAD.JK,tw1,2024,165253896008,531432567163.0,1252221311841,37281921794.0,86371716257,1132367513273,1165849595584,130469416543.0,40194687186.0,20460204765.0,17218993031,17218993031,24930917020
EKAD.JK,tw2,2024,101933403182,530618930423.0,1262781351596,52746856178.0,104509675353,1124155757487,1158271676243,254353989758.0,79929459114.0,50569924571.0,42085351147,42085351147,29934007918
ASHA.JK,tw1,2024,1892366156,108485763983.0,201464667738,31383726966.0,42340185511,159124482227,159124482227,54284598171.0,7222835430.0,181048597.0,18969977,18969977,-124155494
ASHA.JK,tw2,2024,1915015530,79761597901.0,199807840060,28821331294.0,39803165976,160004674084,160004674084,105494939233.0,15153314039.0,1167922226.0,899161834,899161834,-29055834813
ZATA.JK,tw1,2024,13842297991,248782749136.0,712201894991,78773452013.0,183434945297,528766700132,528766949694,64154800725.0,32898839537.0,6783161995.0,6783161995,6783161995,7089117169
ZATA.JK,tw2,2024,9031929692,245725617098.0,673472741918,44076786209.0,146738279493,526734204774,526734462425,142917125543.0,56215058364.0,4750674726.0,4750674726,4750674726,12843439797
KETR.JK,tw1,2024,107261574262,639475560525.0,1863447381511,162535293165.0,894994704682,966290093849,968452676829,117581776931.0,65746524351.0,29450765101.0,25923554269,25923554269,-31972436283
KETR.JK,tw2,2024,67337577748,667952512384.0,1903182643753,170999239708.0,897201109887,1003818379072,1005981533866,251992458919.0,152291792279.0,70975150055.0,63452411306,63452411306,-3632303373
PAMG.JK,tw1,2024,1763850525,570335149892.0,583282446504,16386842903.0,159779784397,423502662107,423502662107,12725705471.0,6171473478.0,307640345.0,276656865,276656865,-1873416246
PAMG.JK,tw2,2024,1821500878,576843320030.0,583639168781,14046963134.0,160071701074,423567467707,423567467707,26094228004.0,12667023200.0,479786365.0,341462465,341462465,343151869
EURO.JK,tw2,2024,6910517000,22026347000.0,58886640000,2364057000.0,5322413000,53564027000,53564227000,13774118000.0,4209473000.0,3508345000.0,2879378000,2879378000,1112947000
