symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
UFOE.JK,2024-03-31,1,244167402795.0,237295569372.0,481462972167.0,,,14014941644.0,251822508901.0,15904100212.0,267726609113.0,213736363054.0,96895363930.0,213105642187.0,233033717702.0,210119243914.0,22914473788.0,20778695431.0,43693169219.0,-40075614449.0,3617554770.0,-853695647.0,17521775.0,2746337348.0,1825699414.0,5443254184.0,,2288614456.666667,3384949470.0,-4329408851.0,3564729547.0,2620270166.0,2284270692.0,5669220162.0,
SRSN.JK,2024-03-31,1,567456418000.0,345944355000.0,913400773000.0,,,17013814000.0,172280569000.0,21741158000.0,194021727000.0,719379046000.0,124166790000.0,719379046000.0,228194939000.0,181329292000.0,46865647000.0,35011887000.0,81877534000.0,-70843370000.0,11034164000.0,-2440638000.0,,8593526000.0,2782341000.0,13816505000.0,,6009458.741258741,34349122000.0,-6451966000.0,-29336692000.0,-1439536000.0,6451966000.0,40801088000.0,
MKTR.JK,2024-03-31,1,540743334000.0,823792336000.0,1364535670000.0,,,172542312000.0,279580107000.0,495763045000.0,775343152000.0,589192518000.0,687063271000.0,587659672000.0,247639985000.0,214865855000.0,32774130000.0,15037710000.0,47811840000.0,-38613340000.0,9198500000.0,-4481990000.0,41503000.0,4675007000.0,10063750000.0,19262250000.0,,11987197.435897436,896177000.0,-42225172000.0,25627509000.0,-15701486000.0,38233989000.0,39130166000.0,
ALKA.JK,2024-03-31,1,318038806000.0,11359202000.0,329398008000.0,,,265030566000.0,117903369000.0,2366481000.0,120269850000.0,209128158000.0,86170000.0,209058461000.0,13822661000.0,8788779000.0,5033882000.0,3192148000.0,8226030000.0,-9805475000.0,-1579445000.0,332000.0,43258000.0,-1622371000.0,20254000.0,-1559191000.0,,506990.9375,-49207852000.0,-3687325000.0,-74626000.0,-52969803000.0,3687325000.0,-45520527000.0,
MICE.JK,2024-03-31,1,670757546393.0,684875752077.0,1355633298470.0,,,53486339710.0,411236443680.0,48249492849.0,459485936529.0,896147361941.0,298067129188.0,896131901649.0,260029079910.0,134604608390.0,125424471520.0,122488689044.0,247913160564.0,-238447779524.0,9465381040.0,-3704721340.0,-4270.0,5760663970.0,6522197458.0,15987578498.0,,592051795.4779034,-17854126632.0,-934880823.0,11967621515.0,-6821385940.0,934880823.0,-16919245809.0,
BLUE.JK,2024-03-31,1,61282180642.0,47000387673.0,108282568315.0,,,9200534182.0,7040607354.0,4935549975.0,11976157329.0,96306410986.0,5878922545.0,96306410986.0,35432682588.0,23936236723.0,11496445865.0,6080341051.0,17576786916.0,-11970369320.0,5606417596.0,,,5606417596.0,,,,431262892.0,609362779.0,-2082574250.0,,-1473211471.0,2082574250.0,2691937029.0,
SKLT.JK,2024-03-31,1,713572889870.0,630654176179.0,1344227066049.0,,,173592175567.0,385140752587.0,119471497629.0,504612250216.0,839614815833.0,178994812916.0,638379808073.0,518475862719.0,389027849274.0,129448013445.0,102539139849.0,231987153294.0,-204229551099.0,27757602195.0,-5086567254.0,103974.0,22670930967.0,1635806059.0,29393408254.0,,1036148581.6727606,18054119707.0,-82219813465.0,-9201647064.0,-73367340822.0,83846079695.0,101900199402.0,
VIVA.JK,2024-03-31,1,2905055123000.0,4979377779000.0,7884432902000.0,,,18461854000.0,13074148993000.0,292348377000.0,13366497370000.0,-5482064468000.0,3805764504000.0,-5979298413000.0,361601772000.0,93113893000.0,268487879000.0,195785623000.0,464273502000.0,-819619737000.0,-355346235000.0,-3855759000.0,-7264818000.0,-351937176000.0,207538903000.0,-147807332000.0,,16464270.399999999,5621665000.0,-14337161000.0,-92559000.0,-8808055000.0,13298799000.0,18920464000.0,
WIKA.JK,2024-03-31,3,29253941880000.0,35368571304000.0,64622513184000.0,,,1950273912000.0,17489560723000.0,38753607084000.0,56243167807000.0,8379345377000.0,39387555262000.0,4617129267000.0,3531653909000.0,3246831117000.0,284822792000.0,252022540000.0,536845332000.0,-1719974721000.0,-1183129389000.0,-9138276000.0,-59518586000.0,-1132749079000.0,711772324000.0,-471357065000.0,,5891541861.0578,-442779367000.0,-757820224000.0,-84609391000.0,-1285208982000.0,520181216000.0,77401849000.0,
NICE.JK,2024-03-31,1,189055494122.0,133336593167.0,322392087289.0,,,94352387236.0,142921236297.0,36422027703.0,179343264000.0,143048823289.0,7349137625.0,143047930646.0,136321330176.0,86769931523.0,49551398653.0,44293189270.0,93844587923.0,-87624114132.0,6220473791.0,-3890613022.0,-512879.0,2330373648.0,,,,6082020000.0,59788690742.0,-13848798295.0,-468362648.0,45471529799.0,13992942439.0,73781633181.0,
