symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
BAPA.JK,2024-09-30,2,"{""total_current_assets"": 23216105412.0, ""total_non_current_assets"": 109865051353.0, ""total_assets"": 133081156765.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 431143673.0, ""total_current_liabilities"": 11091777310.0, ""total_non_current_liabilities"": 663565872.0, ""total_liabilities"": 11755343182.0, ""total_equity"": 121325813583.0, ""total_debt"": 3000000000.0, ""stockholders_equity"": 121312547470.0}","{""total_revenue"": 1330526901.0, ""cost_of_revenue"": 1325518116.0, ""gross_income"": 5008785.0, ""operating_expenses"": 4081462291.0, ""operating_income"": 4086471076.0, ""non_operating_income"": -8334554127.0, ""pretax_income"": -4248083051.0, ""income_taxes"": -85498986.0, ""minorities"": null, ""net_income"": -4333582037.0, ""interest_expense_non_operating"": 370141155.0, ""ebit"": -3877941896.0, ""ebitda"": null, ""diluted_shares_outstanding"": 641062431.5088757}","{""net_operating_cash_flow"": -1582356025.0, ""net_investing_cash_flow"": 676573089.0, ""net_financing_cash_flow"": 386493313.0, ""net_increased_decreased"": -519289623.0, ""capital_expenditure"": 3965000.0, ""free_cash_flow"": -1578391025.0}"
NICL.JK,2024-09-30,1,"{""total_current_assets"": 711536767610.0, ""total_non_current_assets"": 266814508503.0, ""total_assets"": 978351276113.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 188657388765.0, ""total_current_liabilities"": 135377600037.0, ""total_non_current_liabilities"": 14224753549.0, ""total_liabilities"": 149602353586.0, ""total_equity"": 828748922527.0, ""total_debt"": 2394746066.0, ""stockholders_equity"": 827175798063.0}","{""total_revenue"": 821354080221.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expenses"": null, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 226308039511.0, ""income_taxes"": -52639029745.0, ""minorities"": 389015394.0, ""net_income"": 173279994372.0, ""interest_expense_non_operating"": 94264237.0, ""ebit"": 226402303748.0, ""ebitda"": null, ""diluted_shares_outstanding"": 10637200391.160221}","{""net_operating_cash_flow"": 147551177917.0, ""net_investing_cash_flow"": -2888611672.0, ""net_financing_cash_flow"": -91778657659.0, ""net_increased_decreased"": 52883908586.0, ""capital_expenditure"": 2888611672.0, ""free_cash_flow"": 150439789589.0}"
APLN.JK,2024-09-30,2,"{""total_current_assets"": 11174657463000.0, ""total_non_current_assets"": 15969564532000.0, ""total_assets"": 27144221995000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1063137252000.0, ""total_current_liabilities"": 4631748024000.0, ""total_non_current_liabilities"": 9280509278000.0, ""total_liabilities"": 13912257302000.0, ""total_equity"": 13231964693000.0, ""total_debt"": 6899701930000.0, ""stockholders_equity"": 10606576578000.0}","{""total_revenue"": 2777794020000.0, ""cost_of_revenue"": 1600767336000.0, ""gross_income"": 1177026684000.0, ""operating_expenses"": 771077139000.0, ""operating_income"": 1948103823000.0, ""non_operating_income"": -1788462323000.0, ""pretax_income"": 159641500000.0, ""income_taxes"": -92020889000.0, ""minorities"": 108961484000.0, ""net_income"": 67620611000.0, ""interest_expense_non_operating"": 502559380000.0, ""ebit"": 662200880000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 22714765.384615384}","{""net_operating_cash_flow"": 90690310000.0, ""net_investing_cash_flow"": -136233197000.0, ""net_financing_cash_flow"": 336427383000.0, ""net_increased_decreased"": 290884496000.0, ""capital_expenditure"": 99325271000.0, ""free_cash_flow"": 190015581000.0}"
CASS.JK,2024-09-30,3,"{""total_current_assets"": 1713662000000.0, ""total_non_current_assets"": 637646000000.0, ""total_assets"": 2351308000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1268739000000.0, ""total_current_liabilities"": 783181000000.0, ""total_non_current_liabilities"": 138425000000.0, ""total_liabilities"": 921606000000.0, ""total_equity"": 1429702000000.0, ""total_debt"": 64091000000.0, ""stockholders_equity"": 979228000000.0}","{""total_revenue"": 2019128000000.0, ""cost_of_revenue"": 1451095000000.0, ""gross_income"": 568033000000.0, ""operating_expenses"": null, ""operating_income"": 568033000000.0, ""non_operating_income"": 71726000000.0, ""pretax_income"": 639759000000.0, ""income_taxes"": -137365000000.0, ""minorities"": 243371000000.0, ""net_income"": 260536000000.0, ""interest_expense_non_operating"": 11744000000.0, ""ebit"": 651503000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2084.288}","{""net_operating_cash_flow"": 582845000000.0, ""net_investing_cash_flow"": 393697000000.0, ""net_financing_cash_flow"": -160956000000.0, ""net_increased_decreased"": 815586000000.0, ""capital_expenditure"": 62883000000.0, ""free_cash_flow"": 645728000000.0}"
ENRG.JK,2024-09-30,1,"{""total_current_assets"": 442474241.0, ""total_non_current_assets"": 1038422043.0, ""total_assets"": 1480896284.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 82475938.0, ""total_current_liabilities"": 389949215.0, ""total_non_current_liabilities"": 455042384.0, ""total_liabilities"": 844991599.0, ""total_equity"": 635904685.0, ""total_debt"": 355517851.0, ""stockholders_equity"": 706556225.0}","{""total_revenue"": 319660627.0, ""cost_of_revenue"": 229756821.0, ""gross_income"": 89903806.0, ""operating_expenses"": 19415758.0, ""operating_income"": 109319564.0, ""non_operating_income"": -31073281.0, ""pretax_income"": 78246283.0, ""income_taxes"": -27007431.0, ""minorities"": -34206.0, ""net_income"": 51273058.0, ""interest_expense_non_operating"": 28998621.0, ""ebit"": 107244904.0, ""ebitda"": null, ""diluted_shares_outstanding"": 24769593236.714977}","{""net_operating_cash_flow"": 79004196.0, ""net_investing_cash_flow"": -117170456.0, ""net_financing_cash_flow"": 38319905.0, ""net_increased_decreased"": 153645.0, ""capital_expenditure"": 117170456.0, ""free_cash_flow"": 196174652.0}"
BREN.JK,2024-09-30,1,"{""total_current_assets"": 724425000.0, ""total_non_current_assets"": 3061143000.0, ""total_assets"": 3785568000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 293161000.0, ""total_current_liabilities"": 337044000.0, ""total_non_current_liabilities"": 2712001000.0, ""total_liabilities"": 3049045000.0, ""total_equity"": 736523000.0, ""total_debt"": 2135731000.0, ""stockholders_equity"": 511783000.0}","{""total_revenue"": 441295000.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expenses"": null, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 217718000.0, ""income_taxes"": -106999000.0, ""minorities"": 24660000.0, ""net_income"": 86059000.0, ""interest_expense_non_operating"": 102650000.0, ""ebit"": 320368000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 134467187.5}","{""net_operating_cash_flow"": 199215000.0, ""net_investing_cash_flow"": -159618000.0, ""net_financing_cash_flow"": 5777000.0, ""net_increased_decreased"": 45374000.0, ""capital_expenditure"": 156202000.0, ""free_cash_flow"": 355417000.0}"
AGII.JK,2024-09-30,1,"{""total_current_assets"": 1663738000000.0, ""total_non_current_assets"": 6314937000000.0, ""total_assets"": 7978675000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 462543000000.0, ""total_current_liabilities"": 744059000000.0, ""total_non_current_liabilities"": 3457554000000.0, ""total_liabilities"": 4201613000000.0, ""total_equity"": 3777062000000.0, ""total_debt"": 3625663000000.0, ""stockholders_equity"": 3687896000000.0}","{""total_revenue"": 2126227000000.0, ""cost_of_revenue"": 1171079000000.0, ""gross_income"": 955148000000.0, ""operating_expenses"": 640408000000.0, ""operating_income"": 1595556000000.0, ""non_operating_income"": -1492009000000.0, ""pretax_income"": 103547000000.0, ""income_taxes"": -17739000000.0, ""minorities"": 4837000000.0, ""net_income"": 80971000000.0, ""interest_expense_non_operating"": 233058000000.0, ""ebit"": 336605000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3114.269230769231}","{""net_operating_cash_flow"": 205343000000.0, ""net_investing_cash_flow"": -448784000000.0, ""net_financing_cash_flow"": 131404000000.0, ""net_increased_decreased"": -112037000000.0, ""capital_expenditure"": 452519000000.0, ""free_cash_flow"": 657862000000.0}"
PUDP.JK,2024-09-30,2,"{""total_current_assets"": 246337161927.0, ""total_non_current_assets"": 289151134433.0, ""total_assets"": 535488296360.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 70454002952.0, ""total_current_liabilities"": 15325011783.0, ""total_non_current_liabilities"": 5022280876.0, ""total_liabilities"": 20347292659.0, ""total_equity"": 515141003701.0, ""total_debt"": 6402007922.0, ""stockholders_equity"": 515031220080.0}","{""total_revenue"": 27881924358.0, ""cost_of_revenue"": 9630033667.0, ""gross_income"": 18251890691.0, ""operating_expenses"": 27963618326.0, ""operating_income"": 46215509017.0, ""non_operating_income"": -43561923559.0, ""pretax_income"": 2653585458.0, ""income_taxes"": -842359094.0, ""minorities"": null, ""net_income"": 1811226364.0, ""interest_expense_non_operating"": 365138125.0, ""ebit"": 3018723583.0, ""ebitda"": null, ""diluted_shares_outstanding"": 661031519.7080292}","{""net_operating_cash_flow"": -3323237165.0, ""net_investing_cash_flow"": 853329960.0, ""net_financing_cash_flow"": -227869689.0, ""net_increased_decreased"": -2697776894.0, ""capital_expenditure"": 2436397518.0, ""free_cash_flow"": -886839647.0}"
BEEF.JK,2024-09-30,1,"{""total_current_assets"": 916385039602.0, ""total_non_current_assets"": 877725063999.0, ""total_assets"": 1794110103601.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 62104419275.0, ""total_current_liabilities"": 1133940617763.0, ""total_non_current_liabilities"": 462277271912.0, ""total_liabilities"": 1596217889675.0, ""total_equity"": 197892213926.0, ""total_debt"": 713041410877.0, ""stockholders_equity"": 197219239570.0}","{""total_revenue"": 2644516912054.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expenses"": null, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 44940676498.0, ""income_taxes"": -5143697950.0, ""minorities"": -12787731.0, ""net_income"": 39809766279.0, ""interest_expense_non_operating"": 18509252099.0, ""ebit"": 63449928597.0, ""ebitda"": null, ""diluted_shares_outstanding"": 7185878389.711191}","{""net_operating_cash_flow"": -483541068758.0, ""net_investing_cash_flow"": -165866172010.0, ""net_financing_cash_flow"": 701444281704.0, ""net_increased_decreased"": 52037040936.0, ""capital_expenditure"": 165866172010.0, ""free_cash_flow"": -317674896748.0}"
TBIG.JK,2024-09-30,3,"{""total_current_assets"": 4451763000000.0, ""total_non_current_assets"": 41761366000000.0, ""total_assets"": 46213129000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 585450000000.0, ""total_current_liabilities"": 21612168000000.0, ""total_non_current_liabilities"": 12390806000000.0, ""total_liabilities"": 34002974000000.0, ""total_equity"": 12210155000000.0, ""total_debt"": 30066315000000.0, ""stockholders_equity"": 11571057000000.0}","{""total_revenue"": 5126850000000.0, ""cost_of_revenue"": 1447533000000.0, ""gross_income"": 3679317000000.0, ""operating_expenses"": 437969000000.0, ""operating_income"": 4117286000000.0, ""non_operating_income"": -2847997000000.0, ""pretax_income"": 1269289000000.0, ""income_taxes"": -60606000000.0, ""minorities"": 41299000000.0, ""net_income"": 1167384000000.0, ""interest_expense_non_operating"": 1521268000000.0, ""ebit"": 2790557000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 22610.575246949447}","{""net_operating_cash_flow"": 3966755000000.0, ""net_investing_cash_flow"": -2094193000000.0, ""net_financing_cash_flow"": -2085721000000.0, ""net_increased_decreased"": -213159000000.0, ""capital_expenditure"": 1710164000000.0, ""free_cash_flow"": 5676919000000.0}"
