symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
BKSW.JK,2024-09-30,4,"{""gross_loan"": 7170441000000.0, ""allowance_for_loans"": 457025000000.0, ""net_loan"": 7627466000000.0, ""non_loan_asset"": null, ""total_asset"": 11959838000000.0, ""total_earning_assets"": null, ""cash_only"": 28352000000.0, ""total_cash_and_due_from_banks"": 181035000000.0, ""current_account"": 763486000000.0, ""savings_account"": 298488000000.0, ""time_deposit"": 4448943000000.0, ""total_deposit"": 5510917000000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 7199533000000.0, ""total_equity"": 4760305000000.0, ""total_debt"": null, ""stockholders_equity"": 4760305000000.0, ""non_loan_assets"": 4332372000000.0}","{""interest_income"": 552272000000.0, ""interest_expense"": 210442000000.0, ""net_interest_income"": 762714000000.0, ""premium_income"": null, ""premium_expense"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_income"": 79357000000.0, ""operating_expense"": null, ""provision"": -49829000000.0, ""non_operating_income_or_loss"": null, ""pretax_income"": 79357000000.0, ""income_taxes"": -11569000000.0, ""minorities"": null, ""net_income"": 67788000000.0, ""diluted_shares_outstanding"": 35123.31606217616}","{""high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""net_cash_flow"": null, ""operating_cash_flow"": 2152383000000.0, ""investing_cash_flow"": -2564693000000.0, ""financing_cash_flow"": 0.0, ""net_increased_decreased"": -412310000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null, ""total_high_quality_liquid_asset"": null}"
DATA.JK,2024-09-30,1,"{""total_current_asset"": 98444307431.0, ""total_non_current_asset"": 213094957996.0, ""total_asset"": 311539265427.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 16876439834.0, ""total_current_liabilities"": 64522291415.0, ""total_non_current_liabilities"": 33912484102.0, ""total_liabilities"": 98434775517.0, ""total_equity"": 213104489910.0, ""total_debt"": 18708830316.0, ""stockholders_equity"": 206728154052.0}","{""total_revenue"": 249014087512.0, ""cost_of_revenue"": 81135496256.0, ""gross_income"": 167878591256.0, ""operating_expense"": 83620751195.0, ""operating_income"": 251499342451.0, ""non_operating_income_or_loss"": -167105377966.0, ""pretax_income"": 84393964485.0, ""income_taxes"": -20026403327.0, ""minorities"": -289341468.0, ""net_income"": 52253244563.0, ""interest_expense_non_operating"": 1958611706.0, ""ebit"": 86352576191.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1246499154.6517174}","{""operating_cash_flow"": 60939627390.0, ""investing_cash_flow"": -118682528704.0, ""financing_cash_flow"": 68574848130.0, ""net_increased_decreased"": 10831946816.0, ""capital_expenditure"": 118682528704.0, ""free_cash_flow"": 179622156094.0}"
BINA.JK,2024-09-30,4,"{""gross_loan"": 13249674000000.0, ""allowance_for_loans"": 361373000000.0, ""net_loan"": 13611047000000.0, ""non_loan_asset"": null, ""total_asset"": 22444204000000.0, ""total_earning_assets"": null, ""cash_only"": 85855000000.0, ""total_cash_and_due_from_banks"": 237582000000.0, ""current_account"": 3399052000000.0, ""savings_account"": 796972000000.0, ""time_deposit"": 12898326000000.0, ""total_deposit"": 17094350000000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 18775010000000.0, ""total_equity"": 3669194000000.0, ""total_debt"": null, ""stockholders_equity"": 3669194000000.0, ""non_loan_assets"": 8833157000000.0}","{""interest_income"": 1422322000000.0, ""interest_expense"": 886361000000.0, ""net_interest_income"": 2308683000000.0, ""premium_income"": null, ""premium_expense"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_income"": 140817000000.0, ""operating_expense"": null, ""provision"": 70227000000.0, ""non_operating_income_or_loss"": null, ""pretax_income"": 140817000000.0, ""income_taxes"": -30583000000.0, ""minorities"": null, ""net_income"": 110234000000.0, ""diluted_shares_outstanding"": 6134.335002782415}","{""high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""net_cash_flow"": null, ""operating_cash_flow"": -19640000000.0, ""investing_cash_flow"": -1941522000000.0, ""financing_cash_flow"": 15268000000.0, ""net_increased_decreased"": -1945894000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null, ""total_high_quality_liquid_asset"": null}"
TGUK.JK,2024-09-30,1,"{""total_current_asset"": 48521612925.0, ""total_non_current_asset"": 147061646013.0, ""total_asset"": 195583258938.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2182053587.0, ""total_current_liabilities"": 37069532226.0, ""total_non_current_liabilities"": 1480223608.0, ""total_liabilities"": 38549755834.0, ""total_equity"": 157033503104.0, ""total_debt"": 5000000000.0, ""stockholders_equity"": 157033503104.0}","{""total_revenue"": 69803867543.0, ""cost_of_revenue"": 35138955417.0, ""gross_income"": 34664912126.0, ""operating_expense"": 49083853363.0, ""operating_income"": 83748765489.0, ""non_operating_income_or_loss"": -104078511252.0, ""pretax_income"": -20329745763.0, ""income_taxes"": 229285604.0, ""minorities"": null, ""net_income"": -20100460159.0, ""interest_expense_non_operating"": 1070285440.0, ""ebit"": -19259460323.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2500057233.706468}","{""operating_cash_flow"": 2037988178.0, ""investing_cash_flow"": -37361917068.0, ""financing_cash_flow"": 2916000000.0, ""net_increased_decreased"": -32407928890.0, ""capital_expenditure"": 37361917068.0, ""free_cash_flow"": 39399905246.0}"
PADI.JK,2024-09-30,5,"{""total_current_asset"": null, ""total_non_current_asset"": null, ""total_asset"": 178982829701.0, ""cash_only"": 7949895173.0, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": null, ""total_current_liabilities"": null, ""total_non_current_liabilities"": null, ""total_liabilities"": 39049161037.0, ""total_equity"": 139933668664.0, ""total_debt"": null, ""stockholders_equity"": 139933668664.0}","{""total_revenue"": -17884480390.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expense"": 12095113432.0, ""operating_income"": null, ""non_operating_income_or_loss"": null, ""pretax_income"": -29009304469.0, ""income_taxes"": 9671053.0, ""minorities"": null, ""net_income"": -28999633416.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 11327981803.125}","{""operating_cash_flow"": -1306660650.0, ""investing_cash_flow"": -90719558.0, ""financing_cash_flow"": 2931722689.0, ""net_increased_decreased"": 1534342481.0, ""capital_expenditure"": 314057544.0, ""free_cash_flow"": -992603106.0}"
MSTI.JK,2024-09-30,1,"{""total_current_asset"": 2961109394067.0, ""total_non_current_asset"": 206740343860.0, ""total_asset"": 3167849737927.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 525964497202.0, ""total_current_liabilities"": 1102937770395.0, ""total_non_current_liabilities"": 121510950582.0, ""total_liabilities"": 1224448720977.0, ""total_equity"": 1943401016950.0, ""total_debt"": 231613059801.0, ""stockholders_equity"": 1943401016950.0}","{""total_revenue"": 3458757306098.0, ""cost_of_revenue"": 2852491748833.0, ""gross_income"": 606265557265.0, ""operating_expense"": 237698897587.0, ""operating_income"": 843964454852.0, ""non_operating_income_or_loss"": -444341739456.0, ""pretax_income"": 399622715396.0, ""income_taxes"": -87540047788.0, ""minorities"": null, ""net_income"": 312082667608.0, ""interest_expense_non_operating"": 6805054324.0, ""ebit"": 406427769720.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3152350177.858586}","{""operating_cash_flow"": -121229397340.0, ""investing_cash_flow"": 1070680154.0, ""financing_cash_flow"": -341163976149.0, ""net_increased_decreased"": -461322693335.0, ""capital_expenditure"": 13165173052.0, ""free_cash_flow"": -108064224288.0}"
PSDN.JK,2024-09-30,1,"{""total_current_asset"": 21693610934.0, ""total_non_current_asset"": 126586243235.0, ""total_asset"": 148279854169.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1824168346.0, ""total_current_liabilities"": 77156727421.0, ""total_non_current_liabilities"": 19906304414.0, ""total_liabilities"": 97063031835.0, ""total_equity"": 51216822334.0, ""total_debt"": 0.0, ""stockholders_equity"": 51216822334.0}","{""total_revenue"": 28654666800.0, ""cost_of_revenue"": 25738422877.0, ""gross_income"": 2916243923.0, ""operating_expense"": 21255911760.0, ""operating_income"": 24172155683.0, ""non_operating_income_or_loss"": -39037545279.0, ""pretax_income"": -14865389596.0, ""income_taxes"": 0.0, ""minorities"": null, ""net_income"": -14865389596.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1440444728.2945735}","{""operating_cash_flow"": -12521856708.0, ""investing_cash_flow"": 3626405000.0, ""financing_cash_flow"": 7052000000.0, ""net_increased_decreased"": -1843451708.0, ""capital_expenditure"": null, ""free_cash_flow"": null}"
ELSA.JK,2024-09-30,1,"{""total_current_asset"": 7208037000000.0, ""total_non_current_asset"": 3197037000000.0, ""total_asset"": 10405074000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2612862000000.0, ""total_current_liabilities"": 5327974000000.0, ""total_non_current_liabilities"": 311016000000.0, ""total_liabilities"": 5638990000000.0, ""total_equity"": 4766084000000.0, ""total_debt"": 1230582000000.0, ""stockholders_equity"": 4764495000000.0}","{""total_revenue"": 9652173000000.0, ""cost_of_revenue"": 8644738000000.0, ""gross_income"": 1007435000000.0, ""operating_expense"": 351270000000.0, ""operating_income"": 1358705000000.0, ""non_operating_income_or_loss"": -647363000000.0, ""pretax_income"": 711342000000.0, ""income_taxes"": -160106000000.0, ""minorities"": 1000000.0, ""net_income"": 551235000000.0, ""interest_expense_non_operating"": 87680000000.0, ""ebit"": 799022000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 7298225870.515027}","{""operating_cash_flow"": 1152819000000.0, ""investing_cash_flow"": -325062000000.0, ""financing_cash_flow"": -291876000000.0, ""net_increased_decreased"": 535881000000.0, ""capital_expenditure"": 271964000000.0, ""free_cash_flow"": 1424783000000.0}"
ALTO.JK,2024-09-30,1,"{""total_current_asset"": 95261555559.0, ""total_non_current_asset"": 839227279886.0, ""total_asset"": 934488835445.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1616827176.0, ""total_current_liabilities"": 147890497215.0, ""total_non_current_liabilities"": 488357154542.0, ""total_liabilities"": 636247651757.0, ""total_equity"": 298241183688.0, ""total_debt"": 570376717710.0, ""stockholders_equity"": 296847818152.0}","{""total_revenue"": 59198091908.0, ""cost_of_revenue"": 71986126867.0, ""gross_income"": -12788034959.0, ""operating_expense"": 17872966598.0, ""operating_income"": 5084931639.0, ""non_operating_income_or_loss"": -31132565919.0, ""pretax_income"": -26047634280.0, ""income_taxes"": 522927472.0, ""minorities"": -69807668.0, ""net_income"": -25454899140.0, ""interest_expense_non_operating"": 2479650320.0, ""ebit"": -23567983960.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2192497772.6098194}","{""operating_cash_flow"": -4091481260.0, ""investing_cash_flow"": 7173349092.0, ""financing_cash_flow"": -9136924620.0, ""net_increased_decreased"": -6055056788.0, ""capital_expenditure"": 223032888.0, ""free_cash_flow"": -3868448372.0}"
BOBA.JK,2024-09-30,1,"{""total_current_asset"": 56596977195.0, ""total_non_current_asset"": 118175359350.0, ""total_asset"": 174772336545.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 12064915345.0, ""total_current_liabilities"": 18676384742.0, ""total_non_current_liabilities"": 964155090.0, ""total_liabilities"": 19640539832.0, ""total_equity"": 155131796713.0, ""total_debt"": 329548747.0, ""stockholders_equity"": 155131796713.0}","{""total_revenue"": 129225284107.0, ""cost_of_revenue"": 90691810005.0, ""gross_income"": 38533474102.0, ""operating_expense"": 22823691524.0, ""operating_income"": 61357165626.0, ""non_operating_income_or_loss"": -45782253247.0, ""pretax_income"": 15574912379.0, ""income_taxes"": -3403924062.0, ""minorities"": 0.0, ""net_income"": 12170988317.0, ""interest_expense_non_operating"": 43477644.0, ""ebit"": 15618390023.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1106453483.3636363}","{""operating_cash_flow"": 17519932107.0, ""investing_cash_flow"": -6279218904.0, ""financing_cash_flow"": -6090949718.0, ""net_increased_decreased"": 5149763485.0, ""capital_expenditure"": 6447218904.0, ""free_cash_flow"": 23967151011.0}"
