symbol,date,industry_code,gross_loan,allowance_for_loans,net_loan,non_loan_asset,total_assets,total_earning_assets,cash_only,total_cash_and_due_from_banks,current_account,savings_account,time_deposits,total_deposits,other_interest_bearing_liabilities,non_interest_bearing_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,non_loan_assets,interest_income,interest_expenses,net_interest_income,premium_income,premium_expenses,net_premium_income,non_interest_income,total_revenue,operating_expenses,provision_for_impairment,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,diluted_shares_outstanding,total_high_quality_liquid_asset,cash_outflow,cash_inflow,total_net_cash_outflow,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,realized_capital_goods_investment,free_cash_flow
SDRA.JK,2024-03-31,4,46240093000000.0,749187000000.0,46989280000000.0,,58336089000000.0,,649826000000.0,1302886000000.0,5683023000000.0,4344399000000.0,22379359000000.0,32406781000000.0,,,47745427000000.0,10590662000000.0,,10590662000000.0,11346809000000.0,978662000000.0,603223000000.0,1581885000000.0,,,,,,,37986000000.0,198747000000.0,620000000.0,199367000000.0,-48216000000.0,,151151000000.0,8568.650793650793,,,,,-1125658000000.0,484614000000.0,2094615000000.0,1453571000000.0,,
BSIM.JK,2024-03-31,4,16706110000000.0,1593563000000.0,18299673000000.0,,52221354000000.0,,613960000000.0,2454076000000.0,14868721000000.0,10735301000000.0,7603744000000.0,33207766000000.0,,,36888770000000.0,8388609000000.0,,7881472000000.0,33921681000000.0,739200000000.0,200909000000.0,940109000000.0,,,,,,,71254000000.0,119246000000.0,,119246000000.0,-24248000000.0,20270000000.0,115268000000.0,15503.734439834025,,,,,-2661801000000.0,-20512000000.0,471803000000.0,-2210510000000.0,,
MEGA.JK,2024-03-31,4,65513939000000.0,618926000000.0,66132865000000.0,,126532086000000.0,,1328534000000.0,1967369000000.0,11471653000000.0,16897918000000.0,65378130000000.0,93747701000000.0,,,106595251000000.0,19936835000000.0,,19936835000000.0,60399221000000.0,2598442000000.0,1217818000000.0,3816260000000.0,,,,,,,50225000000.0,984306000000.0,16238000000.0,990220000000.0,-187707000000.0,,802513000000.0,11801.661764705883,,,,,7746094000000.0,-4444402000000.0,-3109152000000.0,192540000000.0,,
BBMD.JK,2024-03-31,4,9762396545758.0,157631491030.0,9920028036788.0,,16108089674334.0,,188023043761.0,234394352988.0,1320608834134.0,3744210390569.0,5851451093355.0,10916270318058.0,,,11143282225275.0,4964807449059.0,,4964807449059.0,6188061637546.0,298540058779.0,74900051926.0,373440110705.0,,,,,,,3919482502.0,110589058575.0,548370048.0,110676041301.0,-24348729086.0,,86327312215.0,4026460457.789179,,,,,439824258082.0,-32869183387.0,,406955074695.0,,
BNLI.JK,2024-03-31,4,148598804000000.0,12122830000000.0,160721634000000.0,,252835328000000.0,,2170090000000.0,5682897000000.0,54971879000000.0,32321447000000.0,64429401000000.0,151722727000000.0,,,212027690000000.0,40807638000000.0,,40807638000000.0,92113694000000.0,4144297000000.0,1745731000000.0,5890028000000.0,,,,,,,607523000000.0,1057713000000.0,-12068000000.0,1045645000000.0,-238331000000.0,0.0,807314000000.0,36186.19453160018,,,,,-9065135000000.0,-5156876000000.0,1570818000000.0,-12651193000000.0,,
BDMN.JK,2024-03-31,4,147775452000000.0,7517771000000.0,155293223000000.0,,226561617000000.0,,2306903000000.0,4660173000000.0,30067158000000.0,38309081000000.0,72496395000000.0,140872634000000.0,,,177058756000000.0,49502861000000.0,,48823939000000.0,71268394000000.0,5525326000000.0,1604187000000.0,7129513000000.0,,,,,,,,1117140000000.0,53355000000.0,1103283000000.0,-237771000000.0,34266000000.0,899778000000.0,9773.615520282186,,,,,-2294647000000.0,-5266009000000.0,2743759000000.0,-4816897000000.0,,
BACA.JK,2024-03-31,4,7273809000000.0,28761000000.0,7302570000000.0,,19864461000000.0,,67022000000.0,90341000000.0,2076546000000.0,4154381000000.0,8126455000000.0,14357382000000.0,,,16440342000000.0,3424119000000.0,,3424119000000.0,12561891000000.0,232769000000.0,260282000000.0,493051000000.0,,,,,,,3130000000.0,18587000000.0,3040000000.0,16167000000.0,-3557000000.0,,12610000000.0,20015.873015873014,,,,,5592000000.0,-14188000000.0,,-8596000000.0,,
