symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
TBMS.JK,2024-03-31,1,115365718.0,28031125.0,143396843.0,,,16214416.0,75043141.0,91871.0,75135012.0,68261831.0,32675203.0,68261831.0,192923385.0,188170172.0,4753213.0,1551191.0,6304404.0,-3733235.0,2571169.0,-583430.0,,1987739.0,668941.0,3240110.0,,198773900.0,-3683252.0,-62667.0,-4437340.0,-8183259.0,62667.0,-3620585.0,
FMII.JK,2024-03-31,2,181865000000.0,598066000000.0,779931000000.0,,,2052000000.0,87121000000.0,20967000000.0,108088000000.0,671843000000.0,65224000000.0,671555000000.0,9716000000.0,4560000000.0,5156000000.0,2541000000.0,7697000000.0,-5051000000.0,2646000000.0,-122000000.0,,2524000000.0,7000000.0,2653000000.0,,6471794871.794871,1705000000.0,3439000000.0,-4703000000.0,441000000.0,,,
SMLE.JK,2024-03-31,1,153109994134.0,24653162228.0,177763156362.0,,,66327254076.0,65759869182.0,9361185005.0,75121054187.0,102642102175.0,22087108051.0,102642102175.0,58094652340.0,43214661250.0,14879991090.0,9337911730.0,24217902820.0,-22766842018.0,1451060802.0,-630777679.0,,820283123.0,586409913.0,2037470715.0,,1079319898.6842105,-11726103320.0,-2029096104.0,78883989331.0,65128789907.0,2029096104.0,-9697007216.0,
PTPP.JK,2024-03-31,3,31237282807696.0,25408700279053.0,56645983086749.0,,,4150675589911.0,27108153042723.0,14220112227257.0,41328265269980.0,15317717816769.0,20080776719367.0,11829353311115.0,4611622581548.0,4083487661590.0,528134919958.0,248481008935.0,776615928893.0,-580852239011.0,195763689882.0,-149095742652.0,-47932890174.0,94600837404.0,264741755004.0,460505444886.0,,6306722493.6,-840011714621.0,-150489331770.0,760615097907.0,-229885948484.0,320027659792.0,-519984054829.0,
ASJT.JK,2024-03-31,6,,,564265884973.0,11764015764.0,,,,,239805523302.0,324460361671.0,,324460361671.0,94314977927.0,,,,,,1037433184.0,-228235260.0,,809197924.0,,,,1395168834.4827588,-949995775.0,2756242843.0,,1806247068.0,198300419285.0,197350423510.0,809197924.0
KOCI.JK,2024-03-31,2,72030808995.0,67878718938.0,139909527933.0,,,26180482239.0,11640553170.0,795000696.0,12435553866.0,127473974067.0,423647117.0,127473974067.0,20694622747.0,11833546244.0,8861076503.0,2657618226.0,11518694729.0,-5180279692.0,6338415037.0,-306034277.0,,6032380760.0,13536623.0,6351951660.0,,4403197635.036496,8941093717.0,-8667537104.0,-158069041.0,115487572.0,8687094874.0,17628188591.0,
PTIS.JK,2024-03-31,3,9695454.0,25969064.0,35664518.0,,,3615895.0,3399454.0,11131599.0,14531053.0,21133465.0,,21133153.0,4883021.0,3729234.0,1153787.0,675378.0,1829165.0,-1594868.0,234297.0,-50343.0,-8634.0,192588.0,72177.0,306474.0,,481470000.0,1836841.0,-548481.0,-72177.0,1216183.0,548481.0,2385322.0,
ZBRA.JK,2024-03-31,1,2493731062984.0,789397765293.0,3283128828277.0,,,14071659823.0,1870321951817.0,298414611590.0,2168736563407.0,1114392264870.0,1106540855351.0,1096723074780.0,1724458039618.0,1368355683895.0,356102355723.0,353792956526.0,709895312249.0,-849570814609.0,-139675502360.0,-5078187676.0,-6133746489.0,-138619943547.0,163134550045.0,23459047685.0,,-2510776010.632132,297409649147.0,-3813545139.0,-296682938070.0,-3086834062.0,4583448220.0,301993097367.0,
INAF.JK,2024-03-31,1,236400691761.0,555833406056.0,792234097817.0,,,12373284388.0,1323521209293.0,326808846001.0,1650330055294.0,-858095957477.0,132882325443.0,-858077365695.0,43637479215.0,43346716647.0,290762568.0,42594373312.0,42885135880.0,-97105562710.0,-54220426830.0,276727619.0,-160038.0,-53943539173.0,9919286767.0,-44301140063.0,,3098422698.047099,-21797407560.0,-379109439.0,17478964691.0,-4697552308.0,50000000.0,-21747407560.0,
CGAS.JK,2024-03-31,1,260160062289.0,92197275387.0,352357337676.0,,,144889484357.0,57855739129.0,50788693754.0,108644432883.0,243712904793.0,30487100173.0,232819087264.0,130405800294.0,111835506155.0,18570294139.0,15268929625.0,33839223764.0,-29931284487.0,3907939277.0,-858705693.0,146477086.0,2902756498.0,485174769.0,4393114046.0,,65971738.59090909,-65169787488.0,14297976767.0,177848379072.0,126976568351.0,1350141960.0,-63819645528.0,
RANC.JK,2024-03-31,1,562105838000.0,764388856000.0,1326494694000.0,,,127641454000.0,744769806000.0,295696682000.0,1040466488000.0,286028206000.0,481345775000.0,282491493000.0,734392432000.0,553334611000.0,181057821000.0,195892675000.0,376950496000.0,-390517862000.0,-13567366000.0,404697000.0,-32816000.0,-13129853000.0,10571235000.0,-2996131000.0,,164123162.5,51986410000.0,-28147316000.0,-19243834000.0,4595260000.0,17414102000.0,69400512000.0,
ZATA.JK,2024-03-31,1,463419145855.0,248782749136.0,712201894991.0,,,13842297991.0,78773452013.0,104661493284.0,183434945297.0,528766949694.0,67305128980.0,528766700132.0,64154800725.0,31255961188.0,32898839537.0,23542124772.0,56440964309.0,-49657802314.0,6783161995.0,,-3483.0,6783165478.0,3029128167.0,9812290162.0,,8478956847.5,7089117169.0,-489655686.0,-2353675267.0,4245786216.0,501736996.0,7590854165.0,
CTBN.JK,2024-03-31,1,146998326.0,41312598.0,188310924.0,,,15311852.0,75677493.0,7378853.0,83056346.0,105254578.0,290598.0,105252636.0,46470026.0,37220512.0,9249514.0,5582737.0,14832251.0,-11151966.0,3680285.0,-802601.0,212.0,2877472.0,,,,719368000.0,8135245.0,-282781.0,-245325.0,7607139.0,284611.0,8419856.0,
HAIS.JK,2024-03-31,1,325369888004.0,625406025739.0,950775913743.0,,,154263796376.0,135812258527.0,119120132408.0,254932390935.0,695843522808.0,144029786597.0,693624902715.0,243376310539.0,185966977461.0,57409333078.0,22378804418.0,79788137496.0,-46645151469.0,33142986027.0,-3438969803.0,119051804.0,29584964420.0,3391130388.0,36534116415.0,,2625107756.8766637,39380430185.0,-22132874367.0,-11137856942.0,6109698876.0,24811326939.0,64191757124.0,
KIAS.JK,2024-03-31,1,302383013720.0,705056772481.0,1007439786201.0,,,29703557735.0,159072074160.0,29418891130.0,188490965290.0,818948820911.0,25785489340.0,757231047153.0,160217446015.0,151910114673.0,8307331342.0,9817470924.0,18124802266.0,-19010527844.0,-885725578.0,,51619082.0,-937344660.0,53945017.0,-831780561.0,,14928247491.638796,-47688227542.0,-2390204966.0,24823675508.0,-25254757000.0,2390204966.0,-45298022576.0,
IMJS.JK,2024-03-31,1,10477674258064.0,18931284770231.0,29408959028295.0,,,1591794218845.0,11394821154793.0,13279992218204.0,24674813372997.0,4734145655298.0,23677183195528.0,4357908821857.0,1379798733346.0,829002823654.0,550795909692.0,337643393939.0,888439303631.0,-823908624737.0,64530678894.0,-33618225756.0,-19753860738.0,50666313876.0,205464808295.0,269995487189.0,,8660908354.871796,-191071495617.0,-318997915118.0,432080787461.0,-77988623274.0,322852076646.0,131780581029.0,
BABY.JK,2024-03-31,1,573931961942.0,263921833167.0,837853795109.0,,,56931034539.0,223775009492.0,129380584877.0,353155594369.0,484698200740.0,162738994137.0,484592610293.0,267056369439.0,155587655970.0,111468713469.0,138784828856.0,250253542325.0,-275717245494.0,-25463703169.0,821705344.0,1245425.0,-24643243250.0,3242562491.0,-22221140678.0,,2355950597.51434,-21934787158.0,-4330501006.0,18307610706.0,-7957677458.0,4330501006.0,-17604286152.0,
PIPA.JK,2024-03-31,1,126883727512.0,55071829146.0,181955556658.0,,,11410041614.0,31100014394.0,4393421680.0,35493436074.0,146462120584.0,16147297717.0,146461879745.0,6854772554.0,4816709635.0,2038062919.0,1360721671.0,3398784590.0,-3176451829.0,222332761.0,,5682.0,222327079.0,320889708.0,543222469.0,,2779088487.5,-376343108.0,11075786524.0,-10720655133.0,-21211717.0,961371475.0,585028367.0,
INDR.JK,2024-03-31,1,293995371.0,503794179.0,797789550.0,,,10863055.0,285731693.0,104481251.0,390212944.0,407576606.0,115872513.0,403434092.0,220689101.0,221620572.0,-931471.0,5805097.0,4873626.0,-14812008.0,-9938382.0,2350649.0,-631.0,-7587102.0,1732715.0,-8205667.0,,163515129.31034485,6369289.0,-4268394.0,-3623576.0,-1522681.0,3675719.0,10045008.0,
MSJA.JK,2024-03-31,1,46380549.0,67307333.0,113687882.0,,,25197444.0,18765077.0,10433599.0,29198676.0,84489206.0,17998905.0,81851049.0,17357013.0,14478722.0,2878291.0,1493727.0,4372018.0,-3980110.0,391908.0,-56531.0,-9963.0,345340.0,348112.0,740020.0,,5755666666.666667,1125512.0,-5498845.0,8944499.0,4571166.0,5501791.0,6627303.0,
SKBM.JK,2024-03-31,1,1069617958656.0,757128051584.0,1826746010240.0,,,329195475784.0,659225950548.0,97094265916.0,756320216464.0,1070425793776.0,502217236225.0,1001705990307.0,567136830572.0,485869814736.0,81267015836.0,68858504525.0,150125520361.0,-145886882606.0,4238637755.0,-2221930980.0,-362456862.0,2379163637.0,9839446582.0,14078084337.0,,1724031621.014493,105820654299.0,-7232944588.0,-63119184077.0,35468525634.0,7614220206.0,113434874505.0,
TEBE.JK,2024-03-31,3,471680730000.0,699678290000.0,1171359020000.0,,,425374540000.0,42018607000.0,17035749000.0,59054356000.0,1112304664000.0,,1104265454000.0,97333653000.0,58984378000.0,38349275000.0,9597656000.0,47946931000.0,-15341101000.0,32605830000.0,-7390727000.0,177116000.0,25037987000.0,9138000.0,32614968000.0,,1285317.6078028746,18887645000.0,3192419000.0,-100215000.0,21979849000.0,295281000.0,19182926000.0,
BAPA.JK,2024-03-31,2,22925195111.0,111029209026.0,133954404137.0,,,413539508.0,9193143021.0,544771195.0,9737914216.0,124216489921.0,3000000000.0,124203223808.0,521206581.0,398356384.0,122850197.0,1487875796.0,1610725993.0,-3115204491.0,-1504478498.0,-32196248.0,,-1536674746.0,140034340.0,-1364444158.0,,642960144.7698745,-967188955.0,270827167.0,159468000.0,-536893788.0,1677833.0,-965511122.0,
