symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow
SCNP.JK,2024-03-31,1,258308658307.0,157682230600.0,415990888907.0,,,125466422178.0,48659496538.0,10552454486.0,59211951024.0,356778937883.0,,356777396090.0,62410848736.0,55754297419.0,6656551317.0,9076106166.0,15732657483.0,-12392188959.0,3340468524.0,,89706.0,3340378818.0,,,,2492820013.4328356,12402712646.0,-1006142034.0,,11396570612.0,1006142034.0,13408854680.0
ALII.JK,2024-03-31,1,472176456000.0,1783695129000.0,2255871585000.0,,,86240778000.0,528879927000.0,170604184000.0,699484111000.0,1556387474000.0,418356441000.0,1557961448000.0,250626310000.0,129508730000.0,121117580000.0,22164432000.0,143282012000.0,-64923507000.0,78358505000.0,-5171409000.0,-542528000.0,73729624000.0,42040414000.0,120398919000.0,,14513705511.811024,-90732636000.0,-86523613000.0,262279970000.0,85023721000.0,107900725000.0,17168089000.0
LTLS.JK,2024-03-31,1,2558180000000.0,3088779000000.0,5646959000000.0,,,343568000000.0,2086814000000.0,523965000000.0,2610779000000.0,3036180000000.0,915067000000.0,2761751000000.0,1917642000000.0,1595392000000.0,322250000000.0,243465000000.0,565715000000.0,-452277000000.0,113438000000.0,-25245000000.0,659000000.0,87534000000.0,21805000000.0,135243000000.0,,1509.2068965517242,106107000000.0,39819000000.0,-185302000000.0,-39376000000.0,33689000000.0,139796000000.0
ESIP.JK,2024-03-31,1,36407621194.0,62813856150.0,99221477344.0,,,1279370859.0,1524263769.0,1124226201.0,2648489970.0,96572987374.0,1243072941.0,96572987374.0,14248780215.0,13337981234.0,910798981.0,597170682.0,1507969663.0,-1220098133.0,287871530.0,-34003860.0,0.0,253867670.0,35837519.0,323709049.0,,1103772478.2608695,-2070925726.0,-20000000.0,-196998480.0,-2287924206.0,20000000.0,-2050925726.0
LCKM.JK,2024-03-31,3,132535084049.0,6704798681.0,139239882730.0,,,6400947762.0,4998166689.0,0.0,4998166689.0,134241716041.0,0.0,134241716041.0,300766610.0,500605833.0,-199839223.0,1705704325.0,1505865102.0,-3353468475.0,-1847603373.0,,,-1847603373.0,,,,1004132267.9347826,-1151113016.0,-9458000.0,,-1160571016.0,9458000.0,-1141655016.0
MKAP.JK,2024-03-31,1,264989037837.0,146473855897.0,411462893734.0,,,73961607467.0,121556489338.0,38254668420.0,159811157758.0,251651735976.0,117465622640.0,251651735976.0,79659545887.0,48592322991.0,31067222896.0,10614874521.0,41682097417.0,-23837279913.0,17844817504.0,-2314985494.0,,15529832010.0,2555840431.0,20400657935.0,,801332921.0526316,-27398435368.0,-12485136730.0,100587420959.0,60703848861.0,12485136730.0,-14913298638.0
TALF.JK,2024-03-31,1,546923228249.0,1222816864210.0,1769740092459.0,,,16638544253.0,274798511224.0,269638632661.0,544437143885.0,1225302948574.0,297157859072.0,1187084644103.0,332829099769.0,298122775171.0,34706324598.0,23642722182.0,58349046780.0,-48135896881.0,10213149899.0,-2339974954.0,513590258.0,7359584687.0,4245543508.0,14458693407.0,,1352864832.1691175,31105323382.0,-32115156165.0,695134473.0,-314698310.0,33443261734.0,64548585116.0
MIRA.JK,2024-03-31,3,33288312562.0,206057756183.0,239346068745.0,,,945273827.0,45347802558.0,33911943226.0,79259745784.0,160086322961.0,51458932803.0,158671207711.0,13319057227.0,14374792443.0,-1055735216.0,1310034149.0,254298933.0,-1399969876.0,-1145670943.0,-511929285.0,-342131043.0,-1315469185.0,,,,3986270257.5757575,1352683172.0,584592950.0,-1406888224.0,530387898.0,335159303.0,1687842475.0
MLIA.JK,2024-03-31,1,2448342434000.0,4534375630000.0,6982718064000.0,,,681265330000.0,1012203565000.0,906500499000.0,1918704064000.0,5064014000000.0,856512553000.0,5064014000000.0,1072478617000.0,800735614000.0,271743003000.0,131357483000.0,403100486000.0,-268503013000.0,134597473000.0,-28767727000.0,,105829746000.0,19656627000.0,154254100000.0,,6614359.125,69751222000.0,-25824013000.0,-69005773000.0,-25078564000.0,30354245000.0,100105467000.0
SKRN.JK,2024-03-31,2,1044455612269.0,1930289494869.0,2974745107138.0,,,395971223602.0,1205700286183.0,860076105794.0,2065776391977.0,908968715161.0,813080400678.0,907112969832.0,305978827144.0,196499650101.0,109479177043.0,36797073705.0,146276250748.0,-78104659117.0,68171591631.0,-5768026757.0,-1115361184.0,62403564874.0,15000859459.0,83172451090.0,,6815335413.948498,37566594869.0,2608940942.0,-75453027365.0,-35277491554.0,9347212754.0,46913807623.0
SQMI.JK,2024-03-31,1,41465658870.0,475699117207.0,517164776077.0,,,2634600964.0,390738772011.0,35468783157.0,426207555168.0,90957220909.0,27137603481.0,96718405302.0,136115391.0,132784125.0,3331266.0,10482408377.0,10485739643.0,-22715947315.0,-12230207672.0,-1575352160.0,-239115411.0,-13566444421.0,637846420.0,-11592361252.0,,15593614277.011494,-8700786970.0,-215426860.0,8913712815.0,-2501015.0,215426860.0,-8485360110.0
AMAN.JK,2024-03-31,2,599099021000.0,526444082000.0,1125543103000.0,,,31510177000.0,255000158000.0,150661391000.0,405661549000.0,719881554000.0,163673325000.0,717357737000.0,36946704000.0,12136775000.0,24809929000.0,8472829000.0,33282758000.0,-18830643000.0,14452115000.0,-1558662000.0,1815632000.0,12893453000.0,2553603000.0,17005718000.0,,3326672.972972973,-13799028000.0,-18992364000.0,15896390000.0,-16895002000.0,18992364000.0,5193336000.0
TBLA.JK,2024-03-31,1,11379092000000.0,13883980000000.0,25263072000000.0,,,782340000000.0,8187398000000.0,8652220000000.0,16839618000000.0,8423454000000.0,12753575000000.0,8410874000000.0,4389429000000.0,3623133000000.0,766296000000.0,224885000000.0,991181000000.0,-710708000000.0,280473000000.0,-59877000000.0,291000000.0,220305000000.0,296936000000.0,577409000000.0,,6025.847921225383,924125000000.0,-330741000000.0,-341406000000.0,251978000000.0,332247000000.0,1256372000000.0
ABBA.JK,2024-03-31,1,109496710930.0,141032656441.0,250529367371.0,,,15986214999.0,233288244934.0,133770267405.0,367058512339.0,-116529144968.0,100353304529.0,10517413143.0,41606982282.0,28398108872.0,13208873410.0,23925116340.0,37133989750.0,-47891526943.0,-10757537193.0,-30617400.0,-1945040994.0,-8843113599.0,900183457.0,-9857353736.0,,3935892857.0,-12900993259.0,-546863322.0,-2022462966.0,-15470319547.0,546863322.0,-12354129937.0
DMND.JK,2024-03-31,1,4154842000000.0,2973508000000.0,7128350000000.0,,,600867000000.0,1055141000000.0,178165000000.0,1233306000000.0,5895044000000.0,33022000000.0,5868011000000.0,2427027000000.0,1909516000000.0,517511000000.0,431299000000.0,948810000000.0,-861672000000.0,87138000000.0,-23956000000.0,-2294000000.0,65476000000.0,762000000.0,87900000000.0,,9353.714285714286,102366000000.0,-46883000000.0,-1281000000.0,54202000000.0,48027000000.0,150393000000.0
ADMG.JK,2024-03-31,1,50954580.0,102264175.0,153218755.0,,,5425978.0,23481038.0,5134997.0,28616035.0,124602720.0,,124613972.0,26988267.0,26676910.0,311357.0,1420325.0,1731682.0,-3221973.0,-1490291.0,47614.0,-190.0,-1442487.0,41012.0,-1449279.0,,3606217500.0,-364905.0,16933.0,,-347972.0,14194.0,-350711.0
SCCO.JK,2024-03-31,1,2293825376632.0,3262494497970.0,5556319874602.0,,,935434269139.0,516647846225.0,41703944700.0,558351790925.0,4997968083677.0,,5009623787407.0,1649882837357.0,1548267161505.0,101615675852.0,54383405083.0,155999080935.0,-80689924972.0,75309155963.0,-14635815735.0,119548574.0,60553791654.0,57935600.0,75367091563.0,,818294481.8108108,174860476415.0,-21533667262.0,-599184.0,153326209969.0,21362558432.0,196223034847.0
