symbol,date,industry_code,gross_loan,allowance_for_loans,net_loan,non_loan_asset,total_assets,total_earning_assets,cash_only,total_cash_and_due_from_banks,current_account,savings_account,time_deposits,total_deposits,other_interest_bearing_liabilities,non_interest_bearing_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,non_loan_assets,interest_income,interest_expenses,net_interest_income,premium_income,premium_expenses,net_premium_income,non_interest_income,total_revenue,operating_expenses,provision_for_impairment,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,diluted_shares_outstanding,total_high_quality_liquid_asset,cash_outflow,cash_inflow,total_net_cash_outflow,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,realized_capital_goods_investment,free_cash_flow
VICO.JK,2024-03-31,4,20329487639000.0,564354488000.0,20893842127000.0,,32552649064000.0,,215004038000.0,702151185000.0,2165457373000.0,3193982062000.0,16358832522000.0,21718271957000.0,,,26101558430000.0,5127645645000.0,,3217057344000.0,11658806937000.0,550924570000.0,382734956000.0,933659526000.0,25462755000.0,20962241000.0,46424996000.0,,,,,110159232000.0,56030879000.0,53372461000.0,-7065076000.0,22648882000.0,68956267000.0,1526355032.2580645,,,,,-960472836000.0,545048072000.0,-8029640000.0,-423454404000.0,,
MFIN.JK,2024-03-31,4,,,,,6482687000000.0,,61837000000.0,382037000000.0,,,,,,,2994823000000.0,3487864000000.0,,3487864000000.0,,13492000000.0,65893000000.0,79385000000.0,,,,,,,87154000000.0,,,113894000000.0,-22460000000.0,,91434000000.0,2612.4,,,,,-107519000000.0,-38791000000.0,-314816000000.0,-461126000000.0,,
BABP.JK,2024-03-31,4,10225861000000.0,261999000000.0,10487860000000.0,,18290069000000.0,,149606000000.0,343135000000.0,902752000000.0,1996976000000.0,11019064000000.0,13918792000000.0,,,14686763000000.0,3603306000000.0,,3603306000000.0,7802209000000.0,335776000000.0,202085000000.0,537861000000.0,,,,,,,-11070000000.0,15840000000.0,3236000000.0,19076000000.0,-4227000000.0,,14849000000.0,32280.434782608696,,,,,-317128000000.0,63689000000.0,1727000000.0,-251712000000.0,,
