total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
,,,,,,,,,,2020-12-31,ASLI.JK,102800000000,7160000000,7160000000,70390000000,43310000000,14640000000,59490000000,59490000000,40980000000,,20920000000,-2029999999
,,,,,,,,,,2021-12-31,ASLI.JK,99020000000,4560000000,4560000000,80360000000,29470000000,21950000000,69550000000,69550000000,25910000000,,31160000000,18770000000
,,,,,,,,,,2022-12-31,ASLI.JK,366940000000,35600000000,35600000000,186160000000,32030000000,17590000000,334920000000,332100000000,25650000000,,40240000000,-164150000000
,,,,,,,,,,2023-12-31,ASLI.JK,413790000000,17980000000,17980000000,258500000000,59560000000,47800000000,354230000000,352950000000,38150000000,,-9030000000,-27800000000
