total_revenue,gross_income,operating_income,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,interest_expense_non_operating,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
,,,,,,,,,2022-09-30,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2022-12-31,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2023-03-31,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2023-06-30,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2023-09-30,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2023-12-31,LMAS.JK,,,,,,,,,,,,,
,,,,,,,,,2024-03-31,LMAS.JK,,,,,,,,,,,,,
