total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
,,,,,,,,,,2020-12-31,ATLA.JK,85280000000,16379999999,16379999999,14300000000,71270000000,67280000000,14010000000,14010000000,5260000000,,,
,,,,,,,,,,2021-12-31,ATLA.JK,39770000000,11290000000,11290000000,16940000000,12310000000,8900000000,27460000000,27460000000,5170000000,,,
,,,,,,,,,,2022-12-31,ATLA.JK,48620000000,7290000000,7290000000,20520000000,14880000000,12840000000,33740000000,33740000000,3320000000,,,
,,,,,,,,,,2023-12-31,ATLA.JK,54220000000,7390000000,7390000000,31060000000,5590000000,4960000000,48630000000,48630000000,706130000,,,
