total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
,,,,,,,,,,2020-12-31,NICE.JK,87110000000,2930000000,2930000000,32619999999,82940000000,74600000000,4170000000,4170000000,1510000000,,28610000000,23790000000
,,,,,,,,,,2021-12-31,NICE.JK,169000000000,57870000000,57870000000,32220000000,119570000000,112930000000,49430000000,49430000000,798570000,,56660000000,54540000000
,,,,,,,,,,2022-12-31,NICE.JK,283450000000,31930000000,31930000000,110330000000,195350000000,178600000000,88100000000,88100000000,9620000000,,91230000000,57490000000
,,,,,,,,,,2023-12-31,NICE.JK,333230000000,48880000000,48880000000,124370000000,192510000000,173250000000,140720000000,140720000000,7820000000,,78360000000,38120000000
