symbol,year,period
ADMF.JK,2024,tw1
ADMF.JK,2024,tw4
MDLN.JK,2024,tw4
SMAR.JK,2024,tw3
SMAR.JK,2024,tw4
ADMR.JK,2024,tw4
BBTN.JK,2024,tw1
BBTN.JK,2024,tw4
DIGI.JK,2024,tw1
DIGI.JK,2024,tw4
ICBP.JK,2024,tw4
ROCK.JK,2024,tw4
TNCA.JK,2024,tw4
MREI.JK,2024,tw4
INDX.JK,2024,tw4
PACK.JK,2024,tw1
PACK.JK,2024,tw3
PACK.JK,2024,tw4
APEX.JK,2024,tw4
GMTD.JK,2024,tw4
MTEL.JK,2024,tw1
MTEL.JK,2024,tw4
PKPK.JK,2024,tw1
PKPK.JK,2024,tw4
GGRM.JK,2024,tw4
HITS.JK,2024,tw4
HADE.JK,2024,tw1
HADE.JK,2024,tw4
RONY.JK,2024,tw4
INPP.JK,2024,tw4
RSGK.JK,2024,tw1
RSGK.JK,2024,tw4
GHON.JK,2024,tw4
SAPX.JK,2024,tw4
SSTM.JK,2024,tw4
WIFI.JK,2024,tw4
BABP.JK,2024,tw4
AMIN.JK,2024,tw4
PORT.JK,2024,tw4
NAIK.JK,2024,tw1
NAIK.JK,2024,tw2
NAIK.JK,2024,tw3
NAIK.JK,2024,tw4
CPRO.JK,2024,tw4
KRAS.JK,2024,tw4
ABDA.JK,2024,tw4
GTBO.JK,2024,tw4
PEVE.JK,2024,tw4
RGAS.JK,2024,tw4
ACST.JK,2024,tw1
ACST.JK,2024,tw4
MDIA.JK,2024,tw4
MCOR.JK,2024,tw4
NTBK.JK,2024,tw4
BMRI.JK,2024,tw4
NIKL.JK,2024,tw1
NIKL.JK,2024,tw4
CRAB.JK,2024,tw1
CRAB.JK,2024,tw4
CNTX.JK,2024,tw4
AXIO.JK,2024,tw4
PICO.JK,2024,tw4
POLY.JK,2024,tw1
POLY.JK,2024,tw4
UFOE.JK,2024,tw4
SRSN.JK,2024,tw4
MAMI.JK,2024,tw1
MAMI.JK,2024,tw2
MAMI.JK,2024,tw3
MAMI.JK,2024,tw4
