symbol,year,period
MKTR.JK,2024,tw4
ALKA.JK,2024,tw4
MICE.JK,2024,tw4
ITIC.JK,2024,tw1
ITIC.JK,2024,tw4
CEKA.JK,2024,tw1
CEKA.JK,2024,tw4
BLUE.JK,2024,tw4
LMAS.JK,2024,tw1
LMAS.JK,2024,tw2
LMAS.JK,2024,tw3
LMAS.JK,2024,tw4
KBRI.JK,2024,tw1
KBRI.JK,2024,tw2
KBRI.JK,2024,tw3
KBRI.JK,2024,tw4
SKLT.JK,2024,tw4
VIVA.JK,2024,tw4
WIKA.JK,2024,tw4
NICE.JK,2024,tw4
ASSA.JK,2024,tw4
PCAR.JK,2024,tw4
STAA.JK,2024,tw1
STAA.JK,2024,tw4
APII.JK,2024,tw4
PNSE.JK,2024,tw4
TOOL.JK,2024,tw4
BKSW.JK,2024,tw4
DATA.JK,2024,tw4
BINA.JK,2024,tw1
BINA.JK,2024,tw4
TGUK.JK,2024,tw4
PADI.JK,2024,tw1
PADI.JK,2024,tw4
MSTI.JK,2024,tw4
PSDN.JK,2024,tw4
SMMT.JK,2024,tw4
ELSA.JK,2024,tw4
ALTO.JK,2024,tw4
BOBA.JK,2024,tw1
BOBA.JK,2024,tw4
TOSK.JK,2024,tw4
VINS.JK,2024,tw4
PANI.JK,2024,tw1
PANI.JK,2024,tw4
ZINC.JK,2024,tw4
TRUS.JK,2024,tw4
VTNY.JK,2024,tw1
VTNY.JK,2024,tw4
BUMI.JK,2024,tw1
BUMI.JK,2024,tw4
CBRE.JK,2024,tw4
BOSS.JK,2024,tw1
BOSS.JK,2024,tw2
BOSS.JK,2024,tw3
BOSS.JK,2024,tw4
PJAA.JK,2024,tw1
AVIA.JK,2024,tw1
AVIA.JK,2024,tw4
KMDS.JK,2024,tw4
JKSW.JK,2024,tw4
LRNA.JK,2024,tw4
FISH.JK,2024,tw4
FAST.JK,2024,tw4
HBAT.JK,2024,tw1
HBAT.JK,2024,tw3
HBAT.JK,2024,tw4
KICI.JK,2024,tw1
KICI.JK,2024,tw4
RMKE.JK,2024,tw4
PYFA.JK,2024,tw4
APIC.JK,2024,tw4
