symbol,year,period,file_name,file_url
KEJU.JK,2024,tw2,FinancialStatement-2024-II-KEJU.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/KEJU/FinancialStatement-2024-II-KEJU.xlsx
KEJU.JK,2024,tw3,FinancialStatement-2024-III-KEJU.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/KEJU/FinancialStatement-2024-III-KEJU.xlsx
PTPP.JK,2024,tw1,FinancialStatement-2024-I-PTPP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/PTPP/FinancialStatement-2024-I-PTPP.xlsx
PTPP.JK,2024,tw2,FinancialStatement-2024-II-PTPP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/PTPP/FinancialStatement-2024-II-PTPP.xlsx
PTPP.JK,2024,tw3,FinancialStatement-2024-III-PTPP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/PTPP/FinancialStatement-2024-III-PTPP.xlsx
YULE.JK,2024,tw2,FinancialStatement-2024-II-YULE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/YULE/FinancialStatement-2024-II-YULE.xlsx
YULE.JK,2024,tw3,FinancialStatement-2024-III-YULE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/YULE/FinancialStatement-2024-III-YULE.xlsx
ASJT.JK,2024,tw1,FinancialStatement-2024-I-ASJT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ASJT/FinancialStatement-2024-I-ASJT.xlsx
ASJT.JK,2024,tw2,FinancialStatement-2024-II-ASJT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/ASJT/FinancialStatement-2024-II-ASJT.xlsx
ASJT.JK,2024,tw3,FinancialStatement-2024-III-ASJT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/ASJT/FinancialStatement-2024-III-ASJT.xlsx
KOCI.JK,2024,tw1,FinancialStatement-2024-I-KOCI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KOCI/FinancialStatement-2024-I-KOCI.xlsx
KOCI.JK,2024,tw2,FinancialStatement-2024-II-KOCI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/KOCI/FinancialStatement-2024-II-KOCI.xlsx
KOCI.JK,2024,tw3,FinancialStatement-2024-III-KOCI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/KOCI/FinancialStatement-2024-III-KOCI.xlsx
PTIS.JK,2024,tw1,FinancialStatement-2024-I-PTIS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/PTIS/FinancialStatement-2024-I-PTIS.xlsx
