symbol,year,period,file_name,file_url
VICO.JK,2024,tw1,FinancialStatement-2024-I-VICO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/VICO/FinancialStatement-2024-I-VICO.xlsx
MFIN.JK,2024,tw1,FinancialStatement-2024-I-MFIN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/MFIN/FinancialStatement-2024-I-MFIN.xlsx
TFAS.JK,2024,tw1,FinancialStatement-2024-I-TFAS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/TFAS/FinancialStatement-2024-I-TFAS.xlsx
TRON.JK,2024,tw1,FinancialStatement-2024-I-TRON.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/TRON/FinancialStatement-2024-I-TRON.xlsx
GOLD.JK,2024,tw1,FinancialStatement-2024-I-GOLD.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/GOLD/FinancialStatement-2024-I-GOLD.xlsx
NETV.JK,2024,tw1,FinancialStatement-2024-I-NETV.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/NETV/FinancialStatement-2024-I-NETV.xlsx
DPNS.JK,2024,tw1,FinancialStatement-2024-I-DPNS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/DPNS/FinancialStatement-2024-I-DPNS.xlsx
INTP.JK,2024,tw1,FinancialStatement-2024-I-INTP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/INTP/FinancialStatement-2024-I-INTP.xlsx
SFAN.JK,2024,tw1,FinancialStatement-2024-I-SFAN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SFAN/FinancialStatement-2024-I-SFAN.xlsx
BWPT.JK,2024,tw1,FinancialStatement-2024-I-BWPT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BWPT/FinancialStatement-2024-I-BWPT.xlsx
JAWA.JK,2024,tw1,FinancialStatement-2024-I-JAWA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/JAWA/FinancialStatement-2024-I-JAWA.xlsx
DART.JK,2024,tw1,FinancialStatement-2024-I-DART.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/DART/FinancialStatement-2024-I-DART.xlsx
DYAN.JK,2024,tw1,FinancialStatement-2024-I-DYAN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/DYAN/FinancialStatement-2024-I-DYAN.xlsx
INTA.JK,2024,tw1,FinancialStatement-2024-I-INTA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/INTA/FinancialStatement-2024-I-INTA.xlsx
JARR.JK,2024,tw1,FinancialStatement-2024-I-JARR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/JARR/FinancialStatement-2024-I-JARR.xlsx
ASLI.JK,2024,tw1,FinancialStatement-2024-I-ASLI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ASLI/FinancialStatement-2024-I-ASLI.xlsx
KOKA.JK,2024,tw1,FinancialStatement-2024-I-KOKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KOKA/FinancialStatement-2024-I-KOKA.xlsx
KIOS.JK,2024,tw1,FinancialStatement-2024-I-KIOS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KIOS/FinancialStatement-2024-I-KIOS.xlsx
HALO.JK,2024,tw1,FinancialStatement-2024-I-HALO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/HALO/FinancialStatement-2024-I-HALO.xlsx
KOBX.JK,2024,tw1,FinancialStatement-2024-I-KOBX.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/KOBX/FinancialStatement-2024-I-KOBX.xlsx
ASHA.JK,2024,tw1,FinancialStatement-2024-I-ASHA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ASHA/FinancialStatement-2024-I-ASHA.xlsx
ERAL.JK,2024,tw1,FinancialStatement-2024-I-ERAL.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ERAL/FinancialStatement-2024-I-ERAL.xlsx
BAIK.JK,2024,tw1,FinancialStatement-2024-I-BAIK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BAIK/FinancialStatement-2024-I-BAIK.xlsx
HRME.JK,2024,tw1,FinancialStatement-2024-I-HRME.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/HRME/FinancialStatement-2024-I-HRME.xlsx
MERK.JK,2024,tw1,FinancialStatement-2024-I-MERK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/MERK/FinancialStatement-2024-I-MERK.xlsx
GEMS.JK,2024,tw1,FinancialStatement-2024-I-GEMS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/GEMS/FinancialStatement-2024-I-GEMS.xlsx
ACRO.JK,2024,tw1,FinancialStatement-2024-I-ACRO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ACRO/FinancialStatement-2024-I-ACRO.xlsx
BUKA.JK,2024,tw1,FinancialStatement-2024-I-BUKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BUKA/FinancialStatement-2024-I-BUKA.xlsx
MDLN.JK,2024,tw1,FinancialStatement-2024-I-MDLN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/MDLN/FinancialStatement-2024-I-MDLN.xlsx
ADMR.JK,2024,tw1,FinancialStatement-2024-I-ADMR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ADMR/FinancialStatement-2024-I-ADMR.xlsx
SMAR.JK,2024,tw1,FinancialStatement-2024-I-SMAR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SMAR/FinancialStatement-2024-I-SMAR.xlsx
ICBP.JK,2024,tw1,FinancialStatement-2024-I-ICBP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ICBP/FinancialStatement-2024-I-ICBP.xlsx
