symbol,year,period,file_name,file_url
AALI.JK,2024,tw2,FinancialStatement-2024-II-AALI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/AALI/FinancialStatement-2024-II-AALI.xlsx
AALI.JK,2024,tw3,FinancialStatement-2024-III-AALI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/AALI/FinancialStatement-2024-III-AALI.xlsx
GUNA.JK,2024,tw2,FinancialStatement-2024-II-GUNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/GUNA/FinancialStatement-2024-II-GUNA.xlsx
GUNA.JK,2024,tw3,FinancialStatement-2024-III-GUNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/GUNA/FinancialStatement-2024-III-GUNA.xlsx
