symbol,year,period
AALI.JK,2025,tw1
AALI.JK,2025,tw2
AALI.JK,2025,tw3
AALI.JK,2025,tw4
CBDK.JK,2025,tw1
CBDK.JK,2025,tw2
CBDK.JK,2025,tw3
CBDK.JK,2025,tw4
GUNA.JK,2025,tw1
GUNA.JK,2025,tw2
GUNA.JK,2025,tw3
GUNA.JK,2025,tw4
VICO.JK,2025,tw1
VICO.JK,2025,tw2
VICO.JK,2025,tw3
VICO.JK,2025,tw4
MFIN.JK,2025,tw1
MFIN.JK,2025,tw2
MFIN.JK,2025,tw3
MFIN.JK,2025,tw4
TFAS.JK,2025,tw1
TFAS.JK,2025,tw2
TFAS.JK,2025,tw3
TFAS.JK,2025,tw4
TRON.JK,2025,tw1
TRON.JK,2025,tw2
TRON.JK,2025,tw3
TRON.JK,2025,tw4
DGWG.JK,2025,tw1
DGWG.JK,2025,tw2
DGWG.JK,2025,tw3
DGWG.JK,2025,tw4
HEAL.JK,2025,tw1
HEAL.JK,2025,tw2
HEAL.JK,2025,tw3
HEAL.JK,2025,tw4
GOLD.JK,2025,tw1
GOLD.JK,2025,tw2
GOLD.JK,2025,tw3
GOLD.JK,2025,tw4
KBLM.JK,2025,tw1
KBLM.JK,2025,tw2
KBLM.JK,2025,tw3
KBLM.JK,2025,tw4
OBAT.JK,2025,tw1
OBAT.JK,2025,tw2
OBAT.JK,2025,tw3
OBAT.JK,2025,tw4
KRAH.JK,2025,tw1
KRAH.JK,2025,tw2
KRAH.JK,2025,tw3
KRAH.JK,2025,tw4
AADI.JK,2025,tw1
AADI.JK,2025,tw2
AADI.JK,2025,tw3
AADI.JK,2025,tw4
NETV.JK,2025,tw1
NETV.JK,2025,tw2
NETV.JK,2025,tw3
NETV.JK,2025,tw4
DPNS.JK,2025,tw1
DPNS.JK,2025,tw2
DPNS.JK,2025,tw3
DPNS.JK,2025,tw4
DAAZ.JK,2025,tw1
DAAZ.JK,2025,tw2
DAAZ.JK,2025,tw3
DAAZ.JK,2025,tw4
INTP.JK,2025,tw1
INTP.JK,2025,tw2
INTP.JK,2025,tw3
INTP.JK,2025,tw4
IPPE.JK,2025,tw1
IPPE.JK,2025,tw2
IPPE.JK,2025,tw3
IPPE.JK,2025,tw4
SFAN.JK,2025,tw1
SFAN.JK,2025,tw2
SFAN.JK,2025,tw3
SFAN.JK,2025,tw4
BWPT.JK,2025,tw1
BWPT.JK,2025,tw2
BWPT.JK,2025,tw3
BWPT.JK,2025,tw4
GSMF.JK,2025,tw1
GSMF.JK,2025,tw2
GSMF.JK,2025,tw3
GSMF.JK,2025,tw4
JAWA.JK,2025,tw1
JAWA.JK,2025,tw2
JAWA.JK,2025,tw3
JAWA.JK,2025,tw4
DART.JK,2025,tw1
DART.JK,2025,tw2
DART.JK,2025,tw3
DART.JK,2025,tw4
DYAN.JK,2025,tw1
DYAN.JK,2025,tw2
DYAN.JK,2025,tw3
DYAN.JK,2025,tw4
INTA.JK,2025,tw1
INTA.JK,2025,tw2
INTA.JK,2025,tw3
INTA.JK,2025,tw4
JARR.JK,2025,tw1
JARR.JK,2025,tw2
JARR.JK,2025,tw3
JARR.JK,2025,tw4
ASLI.JK,2025,tw1
ASLI.JK,2025,tw2
ASLI.JK,2025,tw3
ASLI.JK,2025,tw4
TMAS.JK,2025,tw1
TMAS.JK,2025,tw2
TMAS.JK,2025,tw3
TMAS.JK,2025,tw4
KOKA.JK,2025,tw1
KOKA.JK,2025,tw2
KOKA.JK,2025,tw3
KOKA.JK,2025,tw4
KIOS.JK,2025,tw1
KIOS.JK,2025,tw2
KIOS.JK,2025,tw3
KIOS.JK,2025,tw4
MDIY.JK,2025,tw1
MDIY.JK,2025,tw2
MDIY.JK,2025,tw3
MDIY.JK,2025,tw4
BOAT.JK,2025,tw1
BOAT.JK,2025,tw2
BOAT.JK,2025,tw3
BOAT.JK,2025,tw4
HALO.JK,2025,tw1
HALO.JK,2025,tw2
HALO.JK,2025,tw3
HALO.JK,2025,tw4
ETWA.JK,2025,tw1
ETWA.JK,2025,tw2
ETWA.JK,2025,tw3
ETWA.JK,2025,tw4
KOBX.JK,2025,tw1
KOBX.JK,2025,tw2
KOBX.JK,2025,tw3
KOBX.JK,2025,tw4
LAND.JK,2025,tw1
LAND.JK,2025,tw2
LAND.JK,2025,tw3
LAND.JK,2025,tw4
AKRA.JK,2025,tw1
AKRA.JK,2025,tw2
AKRA.JK,2025,tw3
AKRA.JK,2025,tw4
ASHA.JK,2025,tw1
ASHA.JK,2025,tw2
ASHA.JK,2025,tw3
ASHA.JK,2025,tw4
ERAL.JK,2025,tw1
ERAL.JK,2025,tw2
ERAL.JK,2025,tw3
ERAL.JK,2025,tw4
BAIK.JK,2025,tw1
BAIK.JK,2025,tw2
BAIK.JK,2025,tw3
BAIK.JK,2025,tw4
HRME.JK,2025,tw1
HRME.JK,2025,tw2
HRME.JK,2025,tw3
HRME.JK,2025,tw4
SIDO.JK,2025,tw1
SIDO.JK,2025,tw2
SIDO.JK,2025,tw3
SIDO.JK,2025,tw4
MERK.JK,2025,tw1
MERK.JK,2025,tw2
MERK.JK,2025,tw3
MERK.JK,2025,tw4
JMAS.JK,2025,tw1
JMAS.JK,2025,tw2
JMAS.JK,2025,tw3
JMAS.JK,2025,tw4
GEMS.JK,2025,tw1
GEMS.JK,2025,tw2
GEMS.JK,2025,tw3
GEMS.JK,2025,tw4
SOFA.JK,2025,tw1
SOFA.JK,2025,tw2
SOFA.JK,2025,tw3
SOFA.JK,2025,tw4
ACRO.JK,2025,tw1
ACRO.JK,2025,tw2
ACRO.JK,2025,tw3
ACRO.JK,2025,tw4
GTSI.JK,2025,tw1
GTSI.JK,2025,tw2
GTSI.JK,2025,tw3
GTSI.JK,2025,tw4
BUKA.JK,2025,tw1
BUKA.JK,2025,tw2
BUKA.JK,2025,tw3
BUKA.JK,2025,tw4
