symbol,year,period
CBDK.JK,2024,tw2
DGWG.JK,2024,tw2
YOII.JK,2024,tw2
OBAT.JK,2024,tw2
AADI.JK,2024,tw2
KRAH.JK,2024,tw2
DAAZ.JK,2024,tw2
ETWA.JK,2024,tw2
MDIY.JK,2024,tw2
BOAT.JK,2024,tw2
JMAS.JK,2024,tw2
ICBP.JK,2024,tw2
NAIK.JK,2024,tw2
MAMI.JK,2024,tw2
LMAS.JK,2024,tw2
KBRI.JK,2024,tw2
STAA.JK,2024,tw2
VERN.JK,2024,tw2
BOSS.JK,2024,tw2
DOSS.JK,2024,tw2
PTMR.JK,2024,tw2
ZATA.JK,2024,tw2
NEST.JK,2024,tw2
BYAN.JK,2024,tw2
BRRC.JK,2024,tw2
HGII.JK,2024,tw2
RATU.JK,2024,tw2
KSIX.JK,2024,tw2
