symbol,date,industry_code,gross_loan,allowance_for_loans,net_loan,non_loan_asset,total_current_assets,total_non_current_assets,total_assets,total_earning_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,current_account,savings_account,time_deposits,total_deposits,other_interest_bearing_liabilities,non_interest_bearing_liabilities,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,interest_income,interest_expenses,net_interest_income,premium_income,premium_expenses,net_premium_income,non_interest_income,total_revenue,cost_of_revenue,gross_income,operating_expenses,provision_for_impairment,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,total_high_quality_liquid_asset,cash_outflow,cash_inflow,total_net_cash_outflow,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,realized_capital_goods_investment,capital_expenditure,free_cash_flow,non_loan_assets,total_net_cash_flow
AALI.JK,2024-06-30,1,,,,,,,,,,,3987501000000.0,,,,,,,,,,,4157271000000.0,,,,,,,,,,,,704336000000.0,,704336000000.0,,,,,,,,,1924.7157344806392,,,,,,,,,,379042000000.0,,,
AALI.JK,2024-09-30,1,,,,,,,,,,,4366554000000.0,,,,,,,,,,,3194366000000.0,,,,,,,,,,,,1059163000000.0,,1059163000000.0,,,,,,,,,1924.687087087087,,,,,,,,,,607891000000.0,,,
GUNA.JK,2024-06-30,1,,,,,,,,,,,56917322710.0,,,,,,,,,,,36357728264.0,,,,,,,,,,,,38999689202.0,,38999689202.0,,,,,,,,,2026542025.090909,,,,,,,,,,60391597616.0,,,
GUNA.JK,2024-09-30,1,,,,,,,,,,,47505147359.0,,,,,,,,,,,18275790539.0,,,,,,,,,,,,59058688216.0,,59058688216.0,,,,,,,,,2154407795.5719557,,,,,,,,,,108824981840.0,,,
VICO.JK,2024-03-31,4,20329487639000.0,,20329487639000.0,,,,,,,702151185000.0,,2165457373000.0,3193982062000.0,16358832522000.0,21718271957000.0,,,,,,,,,,,,,,,,,,,,,,56030879000.0,,,,46307385000.0,,,,1526355032.2580645,,,,,,,,,,,,,
