symbol,date,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
VICO.JK,2024-03-31,"{""gross_loan"": 20329487639000.0, ""allowance_for_loans"": 564354488000.0, ""net_loan"": 20893842127000.0, ""non_loan_asset"": null, ""total_assets"": 32552649064000.0, ""total_earning_assets"": null, ""cash_only"": 215004038000.0, ""total_cash_and_due_from_banks"": 702151185000.0, ""current_account"": 2165457373000.0, ""savings_account"": 3193982062000.0, ""time_deposits"": 16358832522000.0, ""total_deposits"": 21718271957000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 26101558430000.0, ""total_equity"": 5127645645000.0, ""total_debt"": null, ""stockholders_equity"": 3217057344000.0, ""non_loan_assets"": 11658806937000.0}","{""interest_income"": 550924570000.0, ""interest_expenses"": 382734956000.0, ""net_interest_income"": 933659526000.0, ""premium_income"": 25462755000.0, ""premium_expenses"": 20962241000.0, ""net_premium_income"": 46424996000.0, ""non_interest_income"": null, ""total_revenue"": null, ""operating_expenses"": null, ""provision_for_impairment"": null, ""operating_income"": 110159232000.0, ""non_operating_income"": 56030879000.0, ""pretax_income"": 53372461000.0, ""income_taxes"": -7065076000.0, ""minorities"": 22648882000.0, ""net_income"": 68956267000.0, ""diluted_shares_outstanding"": 1526355032.2580645}","{""total_high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""total_net_cash_outflow"": null, ""net_operating_cash_flow"": -960472836000.0, ""net_investing_cash_flow"": 545048072000.0, ""net_financing_cash_flow"": -8029640000.0, ""net_increased_decreased"": -423454404000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null}"
MFIN.JK,2024-03-31,"{""gross_loan"": null, ""allowance_for_loans"": null, ""net_loan"": null, ""non_loan_asset"": null, ""total_assets"": 6482687000000.0, ""total_earning_assets"": null, ""cash_only"": 61837000000.0, ""total_cash_and_due_from_banks"": 382037000000.0, ""current_account"": null, ""savings_account"": null, ""time_deposits"": null, ""total_deposits"": null, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 2994823000000.0, ""total_equity"": 3487864000000.0, ""total_debt"": null, ""stockholders_equity"": 3487864000000.0, ""non_loan_assets"": null}","{""interest_income"": 13492000000.0, ""interest_expenses"": 65893000000.0, ""net_interest_income"": 79385000000.0, ""premium_income"": null, ""premium_expenses"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_expenses"": null, ""provision_for_impairment"": 87154000000.0, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 113894000000.0, ""income_taxes"": -22460000000.0, ""minorities"": null, ""net_income"": 91434000000.0, ""diluted_shares_outstanding"": 2612.4}","{""total_high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""total_net_cash_outflow"": null, ""net_operating_cash_flow"": -107519000000.0, ""net_investing_cash_flow"": -38791000000.0, ""net_financing_cash_flow"": -314816000000.0, ""net_increased_decreased"": -461126000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null}"
TFAS.JK,2024-03-31,"{""total_current_assets"": 208118800523.0, ""total_non_current_assets"": 37996806988.0, ""total_assets"": 246115607511.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3116769360.0, ""total_current_liabilities"": 57917846720.0, ""total_non_current_liabilities"": 2418388812.0, ""total_liabilities"": 60336235532.0, ""total_equity"": 185779371979.0, ""total_debt"": 57102829021.0, ""stockholders_equity"": 183527270859.0}","{""total_revenue"": 117864447071.0, ""cost_of_revenue"": 112968000511.0, ""gross_income"": 4896446560.0, ""operating_expenses"": 4959949191.0, ""operating_income"": 9856395751.0, ""non_operating_income"": -11812007463.0, ""pretax_income"": -1955611712.0, ""income_taxes"": null, ""minorities"": -22076305.0, ""net_income"": -1933535407.0, ""interest_expense_non_operating"": 1914059826.0, ""ebit"": -41551886.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1652594364.9572651}","{""net_operating_cash_flow"": -194707146.0, ""net_investing_cash_flow"": 1180835000.0, ""net_financing_cash_flow"": -1512178124.0, ""net_increased_decreased"": -526050270.0, ""capital_expenditure"": null, ""free_cash_flow"": null}"
TRON.JK,2024-03-31,"{""total_current_assets"": 167468065538.0, ""total_non_current_assets"": 96498131090.0, ""total_assets"": 263966196628.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 38414120445.0, ""total_current_liabilities"": 17314058670.0, ""total_non_current_liabilities"": 33184924270.0, ""total_liabilities"": 50498982940.0, ""total_equity"": 213467213688.0, ""total_debt"": 35437406933.0, ""stockholders_equity"": 213467213688.0}","{""total_revenue"": 30742764432.0, ""cost_of_revenue"": 22134675632.0, ""gross_income"": 8608088800.0, ""operating_expenses"": 5834423821.0, ""operating_income"": 14442512621.0, ""non_operating_income"": -12148074912.0, ""pretax_income"": 2294437709.0, ""income_taxes"": null, ""minorities"": null, ""net_income"": 2294437709.0, ""interest_expense_non_operating"": 843434716.0, ""ebit"": 3137872425.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2699338481.1764708}","{""net_operating_cash_flow"": -10982511047.0, ""net_investing_cash_flow"": -3887580846.0, ""net_financing_cash_flow"": 11990000139.0, ""net_increased_decreased"": -2880091754.0, ""capital_expenditure"": 3760094286.0, ""free_cash_flow"": -7222416761.0}"
GOLD.JK,2024-03-31,"{""total_current_assets"": 61887050000.0, ""total_non_current_assets"": 357480240000.0, ""total_assets"": 419367290000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 38954045000.0, ""total_current_liabilities"": 36023702000.0, ""total_non_current_liabilities"": 4116117000.0, ""total_liabilities"": 40139819000.0, ""total_equity"": 379227471000.0, ""total_debt"": 2113346000.0, ""stockholders_equity"": 379226127000.0}","{""total_revenue"": 12338030000.0, ""cost_of_revenue"": 4534772000.0, ""gross_income"": 7803258000.0, ""operating_expenses"": 2609923000.0, ""operating_income"": 10413181000.0, ""non_operating_income"": -5313206000.0, ""pretax_income"": 5099975000.0, ""income_taxes"": -200171000.0, ""minorities"": 17000.0, ""net_income"": 4899804000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1275986197.9166665}","{""net_operating_cash_flow"": 2347925000.0, ""net_investing_cash_flow"": -11573400000.0, ""net_financing_cash_flow"": -248333000.0, ""net_increased_decreased"": -9473808000.0, ""capital_expenditure"": 9166733000.0, ""free_cash_flow"": 11514658000.0}"
NETV.JK,2024-03-31,"{""total_current_assets"": 692200391312.0, ""total_non_current_assets"": 505828791580.0, ""total_assets"": 1198029182892.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 17166305397.0, ""total_current_liabilities"": 1927295403430.0, ""total_non_current_liabilities"": 63983952336.0, ""total_liabilities"": 1991279355766.0, ""total_equity"": -793250172874.0, ""total_debt"": 1139349265685.0, ""stockholders_equity"": -761478507322.0}","{""total_revenue"": 81788646207.0, ""cost_of_revenue"": 63331807975.0, ""gross_income"": 18456838232.0, ""operating_expenses"": 60814625189.0, ""operating_income"": 79271463421.0, ""non_operating_income"": -155873621334.0, ""pretax_income"": -76602157913.0, ""income_taxes"": 12374599125.0, ""minorities"": -449985180.0, ""net_income"": -63777573608.0, ""interest_expense_non_operating"": 23439832595.0, ""ebit"": -53162325318.0, ""ebitda"": null, ""diluted_shares_outstanding"": 21259191202.666668}","{""net_operating_cash_flow"": 11958907414.0, ""net_investing_cash_flow"": 3916208084.0, ""net_financing_cash_flow"": -6018291359.0, ""net_increased_decreased"": 9856824139.0, ""capital_expenditure"": 4595610000.0, ""free_cash_flow"": 16554517414.0}"
DPNS.JK,2024-03-31,"{""total_current_assets"": 250365153985.0, ""total_non_current_assets"": 94384719083.0, ""total_assets"": 344749873068.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 38660706140.0, ""total_current_liabilities"": 6134463660.0, ""total_non_current_liabilities"": 8281117883.0, ""total_liabilities"": 14415581543.0, ""total_equity"": 330334291525.0, ""total_debt"": null, ""stockholders_equity"": 330334291525.0}","{""total_revenue"": 17842664717.0, ""cost_of_revenue"": 13333218135.0, ""gross_income"": 4509446582.0, ""operating_expenses"": 6607150618.0, ""operating_income"": 11116597200.0, ""non_operating_income"": -8361088471.0, ""pretax_income"": 2755508729.0, ""income_taxes"": -89383777.0, ""minorities"": null, ""net_income"": 2666124952.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 331195646.2111801}","{""net_operating_cash_flow"": 15281287285.0, ""net_investing_cash_flow"": -33033094376.0, ""net_financing_cash_flow"": null, ""net_increased_decreased"": -17751807091.0, ""capital_expenditure"": 8300000.0, ""free_cash_flow"": 15289587285.0}"
INTP.JK,2024-03-31,"{""total_current_assets"": 8600757000000.0, ""total_non_current_assets"": 20173243000000.0, ""total_assets"": 28774000000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2519995000000.0, ""total_current_liabilities"": 6271436000000.0, ""total_non_current_liabilities"": 1295024000000.0, ""total_liabilities"": 7566460000000.0, ""total_equity"": 21207540000000.0, ""total_debt"": 2767101000000.0, ""stockholders_equity"": 21207540000000.0}","{""total_revenue"": 4082568000000.0, ""cost_of_revenue"": 2902396000000.0, ""gross_income"": 1180172000000.0, ""operating_expenses"": 876564000000.0, ""operating_income"": 2056736000000.0, ""non_operating_income"": -1758719000000.0, ""pretax_income"": 298017000000.0, ""income_taxes"": -59988000000.0, ""minorities"": null, ""net_income"": 238029000000.0, ""interest_expense_non_operating"": 48115000000.0, ""ebit"": 346132000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3431295949.257604}","{""net_operating_cash_flow"": -526481000000.0, ""net_investing_cash_flow"": -26794000000.0, ""net_financing_cash_flow"": -118302000000.0, ""net_increased_decreased"": -671577000000.0, ""capital_expenditure"": 27020000000.0, ""free_cash_flow"": -499461000000.0}"
SFAN.JK,2024-03-31,"{""total_current_assets"": 227501264619.0, ""total_non_current_assets"": 29062906721.0, ""total_assets"": 256564171340.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 41237684036.0, ""total_current_liabilities"": 62584719681.0, ""total_non_current_liabilities"": 4271156206.0, ""total_liabilities"": 66855875887.0, ""total_equity"": 189708295453.0, ""total_debt"": 970870815.0, ""stockholders_equity"": 150347808643.0}","{""total_revenue"": -4220684840.0, ""cost_of_revenue"": 19770632.0, ""gross_income"": -4240455472.0, ""operating_expenses"": 10026945336.0, ""operating_income"": 5786489864.0, ""non_operating_income"": -22757297781.0, ""pretax_income"": -16970807917.0, ""income_taxes"": null, ""minorities"": 1836630777.0, ""net_income"": -18807438694.0, ""interest_expense_non_operating"": 55567664.0, ""ebit"": -16915240253.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1359901568.6189444}","{""net_operating_cash_flow"": -129920288.0, ""net_investing_cash_flow"": -3026386606.0, ""net_financing_cash_flow"": -136520258.0, ""net_increased_decreased"": -3292827152.0, ""capital_expenditure"": 25811775.0, ""free_cash_flow"": -104108513.0}"
BWPT.JK,2024-03-31,"{""total_current_assets"": 1378524000000.0, ""total_non_current_assets"": 8711119000000.0, ""total_assets"": 10089643000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 63008000000.0, ""total_current_liabilities"": 3579257000000.0, ""total_non_current_liabilities"": 4277218000000.0, ""total_liabilities"": 7856475000000.0, ""total_equity"": 2233168000000.0, ""total_debt"": 4604143000000.0, ""stockholders_equity"": 2220540000000.0}","{""total_revenue"": 943361000000.0, ""cost_of_revenue"": 666168000000.0, ""gross_income"": 277193000000.0, ""operating_expenses"": 94311000000.0, ""operating_income"": 371504000000.0, ""non_operating_income"": -289321000000.0, ""pretax_income"": 82183000000.0, ""income_taxes"": -31297000000.0, ""minorities"": 3393000000.0, ""net_income"": 47493000000.0, ""interest_expense_non_operating"": 121033000000.0, ""ebit"": 203216000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 31041.176470588234}","{""net_operating_cash_flow"": 236411000000.0, ""net_investing_cash_flow"": -6139000000.0, ""net_financing_cash_flow"": -194633000000.0, ""net_increased_decreased"": 35639000000.0, ""capital_expenditure"": 6200000000.0, ""free_cash_flow"": 242611000000.0}"
