symbol,period,year,cash_only,total_assets,total_liabilities,stockholders_equity,total_equity,pretax_income,operating_income,net_income,net_operating_cash_flow,total_non_current_assets,total_current_liabilities,total_revenue,gross_income
CAKK.JK,tw2,2024,2177532858,475461304077,273497356158,201968917861,201963947919,1288993327,1288993327,1288993327,-19683361528,329232200792.0,201328109008.0,103760288322.0,-6718343211.0
AKSI.JK,tw1,2024,98050157324,356849986760,168748293167,187542084616,188101693593,944710526,-384870507,-384870507,20473689487,184645618004.0,101591279306.0,123434427116.0,9795979487.0
AKSI.JK,tw2,2024,91113375644,323123989602,145120912194,177505732531,178003077408,-9457264139,-10572291627,-10572291627,18223635348,182836038639.0,69294086084.0,222235231471.0,22921881398.0
TRUK.JK,tw1,2024,2096091701,68108353658,17453337784,50654015874,50655015874,-582821641,-506945260,-506945260,442118501,54145216474.0,11494947813.0,17373724504.0,2676837392.0
TRUK.JK,tw2,2024,3634991580,63714302856,13913249898,49800052958,49801052958,-1586057426,-1399572196,-1399572196,1473976590,51125068262.0,7993052717.0,28481798126.0,4516029476.0
UANG.JK,tw1,2024,76157015156,1458293858762,1096787498694,361502637471,361506360068,119764044889,119764044889,119764044889,-4637665443,735399600839.0,700010677189.0,213878669739.0,140878314348.0
UANG.JK,tw2,2024,172322676300,1678085312693,1349238378206,323919346700,328846934487,92204619308,92204619308,92204619308,-134327174270,847330039431.0,936464572653.0,229540996143.0,149061633794.0
LFLO.JK,tw2,2024,14511485382,144300535666,82533636474,61188926616,61766899192,7614249036,7614249036,7614249036,-1142616246,10085225087.0,81719833543.0,45049629292.0,22846262308.0
UVCR.JK,tw1,2024,2723612492,138734191590,39049249893,99684941697,99684941697,5458860698,4369063448,4369063448,-12266211545,40497098325.0,34182810825.0,182673895693.0,11689380869.0
UVCR.JK,tw2,2024,14478219500,176050303154,75503736734,100546566420,100546566420,7522136940,5924720680,5924720680,-36129592712,40663848291.0,70937297666.0,361290883834.0,21638937210.0
VAST.JK,tw1,2024,4679796333,514171507829,147558700457,366612807372,366612807372,1872813167,1868316548,1868316548,-3898907942,491580056331.0,67954603879.0,8978406114.0,6787837857.0
VAST.JK,tw2,2024,1425822260,510499397773,140265110723,370234287050,370234287050,5499347186,5489475126,5489475126,-7080056339,491598113236.0,68165121798.0,18222666729.0,14345181480.0
VOKS.JK,tw1,2024,589711454906,2576990380847,1857402159059,719588221788,719588221788,61404776949,45262025853,45262025853,204656789327,548818023381.0,1470263071878.0,494808338833.0,72488187933.0
VOKS.JK,tw2,2024,262548075532,2220709371251,1512556991382,708152379869,708152379869,-6671632866,-27726027867,-27726027867,-22457099900,519003675778.0,1125356594007.0,987769810153.0,168499688399.0
IKPM.JK,tw1,2024,27798247563,473329824643,225694362676,247635461967,247635461967,3748445718,2923787660,2923787660,-16330602078,153726093965.0,203203324676.0,97345074764.0,46259931313.0
IKPM.JK,tw2,2024,27597161477,468663728880,223433993277,245229735603,245229735603,6038593421,4308551921,4308551921,-16699166729,151625006176.0,200942955277.0,195226564265.0,88089594234.0
WGSH.JK,tw2,2024,16990364641,63154941484,6038718140,56743974370,57116223344,2311808655,1957261437,1957261437,-1336486461,32549921088.0,5517829068.0,20024146098.0,6254499632.0
YELO.JK,tw1,2024,17520371881,305819590436,13274113855,290226427436,292545476581,1706495296,1335464768,1335464768,-758427767,128514902489.0,11650636379.0,88168611551.0,4681665778.0
YELO.JK,tw2,2024,20964218852,296074227210,3793994994,289963965136,292280232216,2436406405,2093835012,2093835012,-7980814670,107660837614.0,2323674997.0,177030751669.0,9258500135.0
ZONE.JK,tw1,2024,9326385198,735076109178,341694139698,392974602033,393381969480,22277296415,17081016867,17081016867,48478654953,312705404950.0,225144060856.0,214866901302.0,111491585750.0
ZONE.JK,tw2,2024,3499895790,661492046914,269682449136,390903205120,391809597778,20270212524,15008646165,15008646165,49357290762,304952571651.0,139856418948.0,405019510871.0,208273290275.0
