symbol,date,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
SFAN.JK,2024-09-30,"{""total_current_asset"": 165128387196.0, ""total_non_current_asset"": 26092194660.0, ""total_asset"": 191220581856.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 39757219912.0, ""total_current_liabilities"": 20617115317.0, ""total_non_current_liabilities"": 3417941324.0, ""total_liabilities"": 24035056641.0, ""total_equity"": 167185525215.0, ""total_debt"": 117655933.0, ""stockholders_equity"": 129981110314.0}","{""total_revenue"": -943439331.0, ""cost_of_revenue"": 134510660.0, ""gross_income"": -1077949991.0, ""operating_expense"": 30108118125.0, ""operating_income"": 29030168134.0, ""non_operating_income_or_loss"": -63372278648.0, ""pretax_income"": -34342110514.0, ""income_taxes"": null, ""minorities"": -319441132.0, ""net_income"": -34022669382.0, ""interest_expense_non_operating"": 125477938.0, ""ebit"": -34216632576.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1359818920.143885}","{""operating_cash_flow"": -2768288240.0, ""investing_cash_flow"": -780541336.0, ""financing_cash_flow"": -1224461700.0, ""net_increased_decreased"": -4773291276.0, ""capital_expenditure"": 187567773.0, ""free_cash_flow"": -2580720467.0}"
NETV.JK,2024-09-30,"{""total_current_asset"": 626977616522.0, ""total_non_current_asset"": 466091582915.0, ""total_asset"": 1093069199437.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 27783802417.0, ""total_current_liabilities"": 1399125070636.0, ""total_non_current_liabilities"": 375991421570.0, ""total_liabilities"": 1775116492206.0, ""total_equity"": -682047292769.0, ""total_debt"": 389437788683.0, ""stockholders_equity"": -651071016699.0}","{""total_revenue"": 167421983879.0, ""cost_of_revenue"": 139078392736.0, ""gross_income"": 28343591143.0, ""operating_expense"": 168272858164.0, ""operating_income"": 196616449307.0, ""non_operating_income_or_loss"": -152554496634.0, ""pretax_income"": 44061952673.0, ""income_taxes"": 1060409207.0, ""minorities"": 344164163.0, ""net_income"": 44778197717.0, ""interest_expense_non_operating"": 89677900706.0, ""ebit"": 133739853379.0, ""ebitda"": null, ""diluted_shares_outstanding"": 22389098858.5}","{""operating_cash_flow"": -79482939642.0, ""investing_cash_flow"": 8243935576.0, ""financing_cash_flow"": 91713325225.0, ""net_increased_decreased"": 20474321159.0, ""capital_expenditure"": 4749843012.0, ""free_cash_flow"": -74733096630.0}"
GSMF.JK,2024-09-30,"{""total_current_asset"": null, ""total_non_current_asset"": null, ""total_asset"": 5774607000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2466550000000.0, ""total_current_liabilities"": null, ""total_non_current_liabilities"": null, ""total_liabilities"": 3216956000000.0, ""total_equity"": 2557651000000.0, ""total_debt"": null, ""stockholders_equity"": 2439528000000.0}","{""total_revenue"": 756466000000.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expense"": null, ""operating_income"": null, ""non_operating_income_or_loss"": null, ""pretax_income"": 37177000000.0, ""income_taxes"": -8391000000.0, ""minorities"": 4765000000.0, ""net_income"": 24021000000.0, ""interest_expense_non_operating"": 40975000000.0, ""ebit"": 78152000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 14213.60946745562}","{""operating_cash_flow"": 7587000000.0, ""investing_cash_flow"": 10422000000.0, ""financing_cash_flow"": -27717000000.0, ""net_increased_decreased"": -9708000000.0, ""capital_expenditure"": 12663000000.0, ""free_cash_flow"": 20250000000.0}"
JAWA.JK,2024-09-30,"{""total_current_asset"": 360889776268.0, ""total_non_current_asset"": 3372234711911.0, ""total_asset"": 3733124488179.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 8815455777.0, ""total_current_liabilities"": 830263288748.0, ""total_non_current_liabilities"": 1974568531304.0, ""total_liabilities"": 2804831820052.0, ""total_equity"": 928292668127.0, ""total_debt"": 1709830380733.0, ""stockholders_equity"": 920853093937.0}","{""total_revenue"": 627721192340.0, ""cost_of_revenue"": 604216570017.0, ""gross_income"": 23504622323.0, ""operating_expense"": 41012658819.0, ""operating_income"": 64517281142.0, ""non_operating_income_or_loss"": -258813141581.0, ""pretax_income"": -194295860439.0, ""income_taxes"": 11416690586.0, ""minorities"": -815108595.0, ""net_income"": -182064061258.0, ""interest_expense_non_operating"": 140766243363.0, ""ebit"": -53529617076.0, ""ebitda"": null, ""diluted_shares_outstanding"": 16226743427.629232}","{""operating_cash_flow"": -176489308770.0, ""investing_cash_flow"": -84434720012.0, ""financing_cash_flow"": 262708261799.0, ""net_increased_decreased"": 1784233017.0, ""capital_expenditure"": 84071144198.0, ""free_cash_flow"": -92418164572.0}"
DYAN.JK,2024-09-30,"{""total_current_asset"": 614957944900.0, ""total_non_current_asset"": 683481601192.0, ""total_asset"": 1298439546092.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 156463532378.0, ""total_current_liabilities"": 449715652650.0, ""total_non_current_liabilities"": 160647037666.0, ""total_liabilities"": 610362690316.0, ""total_equity"": 688076855776.0, ""total_debt"": 208180654081.0, ""stockholders_equity"": 658870514734.0}","{""total_revenue"": 1119992568899.0, ""cost_of_revenue"": 749419429345.0, ""gross_income"": 370573139554.0, ""operating_expense"": 247139234557.0, ""operating_income"": 617712374111.0, ""non_operating_income_or_loss"": -503672208276.0, ""pretax_income"": 114040165835.0, ""income_taxes"": -16696775375.0, ""minorities"": 2993578307.0, ""net_income"": 94349812153.0, ""interest_expense_non_operating"": 14954404411.0, ""ebit"": 128994570246.0, ""ebitda"": null, ""diluted_shares_outstanding"": 4288627825.1363635}","{""operating_cash_flow"": 49509524581.0, ""investing_cash_flow"": -39174945793.0, ""financing_cash_flow"": -91315822063.0, ""net_increased_decreased"": -80981243275.0, ""capital_expenditure"": 34956092806.0, ""free_cash_flow"": 84465617387.0}"
BWPT.JK,2024-09-30,"{""total_current_asset"": 1344846000000.0, ""total_non_current_asset"": 8523187000000.0, ""total_asset"": 9868033000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 45001000000.0, ""total_current_liabilities"": 3009036000000.0, ""total_non_current_liabilities"": 4491570000000.0, ""total_liabilities"": 7500606000000.0, ""total_equity"": 2367427000000.0, ""total_debt"": 4387831000000.0, ""stockholders_equity"": 2352036000000.0}","{""total_revenue"": 2932488000000.0, ""cost_of_revenue"": 2060440000000.0, ""gross_income"": 872048000000.0, ""operating_expense"": 269007000000.0, ""operating_income"": 1141055000000.0, ""non_operating_income_or_loss"": -844224000000.0, ""pretax_income"": 296831000000.0, ""income_taxes"": -111681000000.0, ""minorities"": 6156000000.0, ""net_income"": 178994000000.0, ""interest_expense_non_operating"": 348834000000.0, ""ebit"": 645665000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 31122.3682}","{""operating_cash_flow"": 557278000000.0, ""investing_cash_flow"": -93302000000.0, ""financing_cash_flow"": -446356000000.0, ""net_increased_decreased"": 17620000000.0, ""capital_expenditure"": 124742000000.0, ""free_cash_flow"": 682020000000.0}"
ASLI.JK,2024-09-30,"{""total_current_asset"": 238329772071.0, ""total_non_current_asset"": 281934905481.0, ""total_asset"": 520264677552.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 6167130854.0, ""total_current_liabilities"": 34600549367.0, ""total_non_current_liabilities"": 9134127262.0, ""total_liabilities"": 43734676629.0, ""total_equity"": 476530000923.0, ""total_debt"": 20068845596.0, ""stockholders_equity"": 475250671467.0}","{""total_revenue"": 180963795654.0, ""cost_of_revenue"": 137319328710.0, ""gross_income"": 43644466944.0, ""operating_expense"": 29746989676.0, ""operating_income"": 73391456620.0, ""non_operating_income_or_loss"": -67308920682.0, ""pretax_income"": 6082535938.0, ""income_taxes"": -4297273341.0, ""minorities"": -1107648.0, ""net_income"": 1786370245.0, ""interest_expense_non_operating"": 7594090604.0, ""ebit"": 13676626542.0, ""ebitda"": null, ""diluted_shares_outstanding"": 6194444445.31202}","{""operating_cash_flow"": 11058056484.0, ""investing_cash_flow"": -121339380564.0, ""financing_cash_flow"": 101521891914.0, ""net_increased_decreased"": -8759432166.0, ""capital_expenditure"": 44679730423.0, ""free_cash_flow"": 55737786907.0}"
TMAS.JK,2024-09-30,"{""total_current_asset"": 939959000000.0, ""total_non_current_asset"": 3076824000000.0, ""total_asset"": 4016783000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 353141000000.0, ""total_current_liabilities"": 750545000000.0, ""total_non_current_liabilities"": 714750000000.0, ""total_liabilities"": 1465295000000.0, ""total_equity"": 2551488000000.0, ""total_debt"": 932198000000.0, ""stockholders_equity"": 2460294000000.0}","{""total_revenue"": 3227711000000.0, ""cost_of_revenue"": 2554191000000.0, ""gross_income"": 673520000000.0, ""operating_expense"": 161949000000.0, ""operating_income"": 835469000000.0, ""non_operating_income_or_loss"": -343709000000.0, ""pretax_income"": 491760000000.0, ""income_taxes"": -55418000000.0, ""minorities"": 31632000000.0, ""net_income"": 404710000000.0, ""interest_expense_non_operating"": 55766000000.0, ""ebit"": 547526000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 57815714285.71429}","{""operating_cash_flow"": 761970000000.0, ""investing_cash_flow"": -716537000000.0, ""financing_cash_flow"": -583113000000.0, ""net_increased_decreased"": -537680000000.0, ""capital_expenditure"": 722488000000.0, ""free_cash_flow"": 1484458000000.0}"
DART.JK,2024-09-30,"{""total_current_asset"": 119574647000.0, ""total_non_current_asset"": 6121196322000.0, ""total_asset"": 6240770969000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 32010331000.0, ""total_current_liabilities"": 1478538413000.0, ""total_non_current_liabilities"": 3240954058000.0, ""total_liabilities"": 4719492471000.0, ""total_equity"": 1521278498000.0, ""total_debt"": 3478514115000.0, ""stockholders_equity"": 1521307808000.0}","{""total_revenue"": 373677862000.0, ""cost_of_revenue"": 204274764000.0, ""gross_income"": 169403098000.0, ""operating_expense"": 115374502000.0, ""operating_income"": 284777600000.0, ""non_operating_income_or_loss"": -484599726000.0, ""pretax_income"": -199822126000.0, ""income_taxes"": -17428483000.0, ""minorities"": -1842000.0, ""net_income"": -217250609000.0, ""interest_expense_non_operating"": 245553177000.0, ""ebit"": 45731051000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3148532855.072464}","{""operating_cash_flow"": 26982302000.0, ""investing_cash_flow"": -1642535000.0, ""financing_cash_flow"": -32048867000.0, ""net_increased_decreased"": -6709100000.0, ""capital_expenditure"": 10352112000.0, ""free_cash_flow"": 37334414000.0}"
INTA.JK,2024-09-30,"{""total_current_asset"": 649186000000.0, ""total_non_current_asset"": 1622665000000.0, ""total_asset"": 2271851000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 73309000000.0, ""total_current_liabilities"": 758770000000.0, ""total_non_current_liabilities"": 3560525000000.0, ""total_liabilities"": 4319295000000.0, ""total_equity"": -2047444000000.0, ""total_debt"": 3648368000000.0, ""stockholders_equity"": -1824687000000.0}","{""total_revenue"": 660754000000.0, ""cost_of_revenue"": 513353000000.0, ""gross_income"": 147401000000.0, ""operating_expense"": 133393000000.0, ""operating_income"": 280794000000.0, ""non_operating_income_or_loss"": -331259000000.0, ""pretax_income"": -50465000000.0, ""income_taxes"": -43713000000.0, ""minorities"": -21684000000.0, ""net_income"": -72494000000.0, ""interest_expense_non_operating"": 109993000000.0, ""ebit"": 59528000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3295181818.181818}","{""operating_cash_flow"": 64850000000.0, ""investing_cash_flow"": -13839000000.0, ""financing_cash_flow"": -69939000000.0, ""net_increased_decreased"": -18928000000.0, ""capital_expenditure"": 48610000000.0, ""free_cash_flow"": 113460000000.0}"
