symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
ASLI.JK,2024-03-31,286213646214.0,251675737532.0,537889383746.0,,,7231783849.0,50806418404.0,10695087560.0,61501505964.0,476387877782.0,34036960076.0,475102619833.0,69792821972.0,50506248074.0,19286573898.0,13683958216.0,32970532114.0,-29361755939.0,3608776175.0,-1965636719.0,4820845.0,1638318611.0,1968444594.0,5577220769.0,,381699941051.5548,-43947435284.0,-80146796189.0,116399452302.0,-7694779171.0,146796189.0,-43800639095.0,
KOKA.JK,2024-03-31,132793522957.0,68574378438.0,201367901395.0,,,12671403313.0,28572081545.0,564429933.0,29136511478.0,172231389917.0,2147663503.0,172231389917.0,21289752444.0,15699047744.0,5590704700.0,4036623645.0,9627328345.0,-8138642979.0,1488685366.0,-526234477.0,,962450889.0,,,,2830737908.823529,-16172948722.0,-984403859.0,1059346019.0,-16098006562.0,984403859.0,-15188544863.0,
KIOS.JK,2024-03-31,64843692189.0,98360722449.0,163204414638.0,,,1497745756.0,15517839701.0,578160973.0,16096000674.0,147108413964.0,,146653851743.0,20132355026.0,19479494085.0,652860941.0,6479895733.0,7132756674.0,-12959411053.0,-5826654379.0,1262930633.0,4803791.0,-4568527537.0,,,,1074947655.764706,392400201.0,-15861790.0,,376538411.0,15861790.0,408261991.0,
HALO.JK,2024-03-31,116714693481.0,134500092230.0,251214785711.0,,,14694227010.0,43619469105.0,37556442022.0,81175911127.0,170038874584.0,7181647715.0,170038874584.0,30565422800.0,26089725587.0,4475697213.0,3947131680.0,8422828893.0,-7906214171.0,516614722.0,-158341480.0,,358273242.0,,,,5971220700.0,18167288300.0,-318696171.0,-9699344747.0,8149247382.0,318696171.0,18485984471.0,
KOBX.JK,2024-03-31,2423022812101.0,1128625586941.0,3551648399042.0,,,58626806420.0,2729285747954.0,380710103605.0,3109995851559.0,441652547483.0,1545456727240.0,439152337466.0,531936305305.0,430824307458.0,101111997847.0,67281701230.0,168393699077.0,-206115170586.0,-37721471509.0,-3955601019.0,229660506.0,-41906733034.0,48754094424.0,11032622915.0,,2272500000.0,266722504152.0,-1935568871.0,-320396312241.0,-55609376960.0,4578870244.0,271301374396.0,
ASHA.JK,2024-03-31,92978903755.0,108485763983.0,201464667738.0,,,1892366156.0,31383726966.0,10956458545.0,42340185511.0,159124482227.0,10754063661.0,159124482227.0,54284598171.0,47061762741.0,7222835430.0,7774738996.0,14997574426.0,-14816525829.0,181048597.0,-162078620.0,,18969977.0,216369686.0,397418283.0,,4742494250.0,-124155494.0,-14861860.0,800270799.0,661253445.0,14861860.0,-109293634.0,
ERAL.JK,2024-03-31,1564661323862.0,498593311343.0,2063254635205.0,,,320236958433.0,463436531923.0,94084840959.0,557521372882.0,1505733262323.0,112141047087.0,1504945248549.0,1091783820367.0,955232728175.0,136551092192.0,98978229115.0,235529321307.0,-183901096347.0,51628224960.0,-11018658420.0,-669258.0,40610235798.0,2191422057.0,53819647017.0,,5186492439.08046,-148123115612.0,-12874744413.0,-11996901461.0,-172994761486.0,11856677608.0,-136266438004.0,
BAIK.JK,2024-03-31,106281517152.0,30549079972.0,136830597124.0,,,24606830915.0,10741798890.0,429171917.0,11170970807.0,125659626317.0,261733047.0,124998999806.0,41840827542.0,32022274846.0,9818552696.0,5981611139.0,15800163835.0,-11989392941.0,3810770894.0,,-106183644.0,3916954538.0,29741800.0,3840512694.0,,1155443816.519174,-37344249608.0,-4118797887.0,62526518932.0,21063471437.0,4118797887.0,-33225451721.0,
HRME.JK,2024-03-31,24396991122.0,893099283993.0,917496275115.0,,,15228299518.0,34434667446.0,245128035725.0,279562703171.0,637933571944.0,239508219176.0,637931264211.0,26225115055.0,10465055102.0,15760059953.0,13284191504.0,29044251457.0,-31729196468.0,-2684945011.0,-255550391.0,10437.0,-2940505839.0,3527042277.0,842097266.0,,6001032324.489796,545870032.0,-612261066.0,-416268134.0,-482659168.0,612261066.0,1158131098.0,
MERK.JK,2024-03-31,829536055000.0,237799924000.0,1067335979000.0,,,200589990000.0,206329911000.0,41472722000.0,247802633000.0,819533346000.0,,819533346000.0,249496112000.0,174709596000.0,74786516000.0,47092976000.0,121879492000.0,-90731956000.0,31147536000.0,-7492983000.0,0.0,23654553000.0,95219000.0,31242755000.0,,446312.320754717,5863377000.0,-949482000.0,-5760730000.0,-846835000.0,949482000.0,6812859000.0,
