symbol,date,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
NETV.JK,2024-06-30,"{""total_current_assets"": 645441461851.0, ""total_non_current_assets"": 451749135236.0, ""total_assets"": 1097190597087.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3892101390.0, ""total_current_liabilities"": 1385398424598.0, ""total_non_current_liabilities"": 390996795422.0, ""total_liabilities"": 1776395220020.0, ""total_equity"": -679204622933.0, ""total_debt"": 398047914206.0, ""stockholders_equity"": -648258257204.0}","{""total_revenue"": 118726730120.0, ""cost_of_revenue"": 109739711509.0, ""gross_income"": 8987018611.0, ""operating_expenses"": 124108390696.0, ""operating_income"": 133095409307.0, ""non_operating_income"": -54644596988.0, ""pretax_income"": 78450812319.0, ""income_taxes"": -28085966944.0, ""minorities"": 374881896.0, ""net_income"": 49989963479.0, ""interest_expense_non_operating"": 82372175006.0, ""ebit"": 160822987325.0, ""ebitda"": null, ""diluted_shares_outstanding"": 24994981739.5}","{""net_operating_cash_flow"": -98847617344.0, ""net_investing_cash_flow"": 4241732458.0, ""net_financing_cash_flow"": 91188505018.0, ""net_increased_decreased"": -3417379868.0, ""capital_expenditure"": 4636885939.0, ""free_cash_flow"": -94210731405.0}"
DPNS.JK,2024-06-30,"{""total_current_assets"": 251651936646.0, ""total_non_current_assets"": 94492346115.0, ""total_assets"": 346144282761.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 39857599962.0, ""total_current_liabilities"": 6080530495.0, ""total_non_current_liabilities"": 7911130783.0, ""total_liabilities"": 13991661278.0, ""total_equity"": 332152621483.0, ""total_debt"": null, ""stockholders_equity"": 332152621483.0}","{""total_revenue"": 35067689996.0, ""cost_of_revenue"": 26211821277.0, ""gross_income"": 8855868719.0, ""operating_expenses"": 11034430654.0, ""operating_income"": 19890299373.0, ""non_operating_income"": -12344344203.0, ""pretax_income"": 7545955170.0, ""income_taxes"": -555769312.0, ""minorities"": 0.0, ""net_income"": 6990185858.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 331131494.9313122}","{""net_operating_cash_flow"": 20859725843.0, ""net_investing_cash_flow"": -37560687163.0, ""net_financing_cash_flow"": 0.0, ""net_increased_decreased"": -16700961320.0, ""capital_expenditure"": 61386262.0, ""free_cash_flow"": 20921112105.0}"
IPPE.JK,2024-06-30,"{""total_current_assets"": 99922568000.0, ""total_non_current_assets"": 201883832000.0, ""total_assets"": 301806400000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1105458000.0, ""total_current_liabilities"": 8244778000.0, ""total_non_current_liabilities"": 5505818000.0, ""total_liabilities"": 13750596000.0, ""total_equity"": 288055804000.0, ""total_debt"": 6380818000.0, ""stockholders_equity"": 288054805000.0}","{""total_revenue"": 18824254000.0, ""cost_of_revenue"": 13548566000.0, ""gross_income"": 5275688000.0, ""operating_expenses"": 2367440000.0, ""operating_income"": 7643128000.0, ""non_operating_income"": -5338598000.0, ""pretax_income"": 2304530000.0, ""income_taxes"": -524911000.0, ""minorities"": null, ""net_income"": 1779619000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 4563125.641025641}","{""net_operating_cash_flow"": 4069929000.0, ""net_investing_cash_flow"": -1628751000.0, ""net_financing_cash_flow"": -1018445000.0, ""net_increased_decreased"": 1422733000.0, ""capital_expenditure"": 1629467000.0, ""free_cash_flow"": 5699396000.0}"
SFAN.JK,2024-06-30,"{""total_current_assets"": 221870094700.0, ""total_non_current_assets"": 27366966363.0, ""total_assets"": 249237061063.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 22371023354.0, ""total_current_liabilities"": 77364614751.0, ""total_non_current_liabilities"": 3300285391.0, ""total_liabilities"": 80664900142.0, ""total_equity"": 168572160921.0, ""total_debt"": 547593033.0, ""stockholders_equity"": 131362827829.0}","{""total_revenue"": -4606453829.0, ""cost_of_revenue"": 74104267.0, ""gross_income"": -4680558096.0, ""operating_expenses"": 20986750429.0, ""operating_income"": 16306192333.0, ""non_operating_income"": -48864747855.0, ""pretax_income"": -32558555522.0, ""income_taxes"": null, ""minorities"": -314522941.0, ""net_income"": -32244032581.0, ""interest_expense_non_operating"": 93425016.0, ""ebit"": -32465130506.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1359933892.070856}","{""net_operating_cash_flow"": -22546150528.0, ""net_investing_cash_flow"": 1069964294.0, ""net_financing_cash_flow"": -683301600.0, ""net_increased_decreased"": -22159487834.0, ""capital_expenditure"": 25811775.0, ""free_cash_flow"": -22520338753.0}"
BWPT.JK,2024-06-30,"{""total_current_assets"": 1521988000000.0, ""total_non_current_assets"": 8548336000000.0, ""total_assets"": 10070324000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 30855000000.0, ""total_current_liabilities"": 3614399000000.0, ""total_non_current_liabilities"": 4148631000000.0, ""total_liabilities"": 7763030000000.0, ""total_equity"": 2307294000000.0, ""total_debt"": 4447095000000.0, ""stockholders_equity"": 2292759000000.0}","{""total_revenue"": 2012405000000.0, ""cost_of_revenue"": 1416339000000.0, ""gross_income"": 596066000000.0, ""operating_expenses"": 187943000000.0, ""operating_income"": 784009000000.0, ""non_operating_income"": -598883000000.0, ""pretax_income"": 185126000000.0, ""income_taxes"": -60118000000.0, ""minorities"": 5300000000.0, ""net_income"": 119708000000.0, ""interest_expense_non_operating"": 228137000000.0, ""ebit"": 413263000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 31092.987012987014}","{""net_operating_cash_flow"": 381730000000.0, ""net_investing_cash_flow"": -12799000000.0, ""net_financing_cash_flow"": -365435000000.0, ""net_increased_decreased"": 3496000000.0, ""capital_expenditure"": 13763000000.0, ""free_cash_flow"": 395493000000.0}"
GSMF.JK,2024-06-30,"{""total_current_assets"": null, ""total_non_current_assets"": null, ""total_assets"": 5949722000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2488754000000.0, ""total_current_liabilities"": null, ""total_non_current_liabilities"": null, ""total_liabilities"": 3432950000000.0, ""total_equity"": 2516772000000.0, ""total_debt"": null, ""stockholders_equity"": 2401213000000.0}","{""total_revenue"": 514987000000.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expenses"": null, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 1140000000.0, ""income_taxes"": -4304000000.0, ""minorities"": 2527000000.0, ""net_income"": -5691000000.0, ""interest_expense_non_operating"": 27666000000.0, ""ebit"": 28806000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 14227.5}","{""net_operating_cash_flow"": 66811000000.0, ""net_investing_cash_flow"": 5092000000.0, ""net_financing_cash_flow"": -39491000000.0, ""net_increased_decreased"": 32412000000.0, ""capital_expenditure"": 2898000000.0, ""free_cash_flow"": 69709000000.0}"
JAWA.JK,2024-06-30,"{""total_current_assets"": 368515557397.0, ""total_non_current_assets"": 3368867150468.0, ""total_assets"": 3737382707865.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 1376090296.0, ""total_current_liabilities"": 692796208825.0, ""total_non_current_liabilities"": 2055717094669.0, ""total_liabilities"": 2748513303494.0, ""total_equity"": 988869404371.0, ""total_debt"": 1794856752842.0, ""stockholders_equity"": 981154384015.0}","{""total_revenue"": 405723213709.0, ""cost_of_revenue"": 388995600084.0, ""gross_income"": 16727613625.0, ""operating_expenses"": 27174710142.0, ""operating_income"": 43902323767.0, ""non_operating_income"": -175401670997.0, ""pretax_income"": -131499347230.0, ""income_taxes"": 9196913621.0, ""minorities"": -539662429.0, ""net_income"": -121762771180.0, ""interest_expense_non_operating"": 90870692379.0, ""ebit"": -40628654851.0, ""ebitda"": null, ""diluted_shares_outstanding"": 16235036157.333334}","{""net_operating_cash_flow"": -94783533138.0, ""net_investing_cash_flow"": -57017537973.0, ""net_financing_cash_flow"": 146145938647.0, ""net_increased_decreased"": -5655132464.0, ""capital_expenditure"": 56841382880.0, ""free_cash_flow"": -37942150258.0}"
DYAN.JK,2024-06-30,"{""total_current_assets"": 559684459884.0, ""total_non_current_assets"": 691106766233.0, ""total_assets"": 1250791226117.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 228275517820.0, ""total_current_liabilities"": 386978971875.0, ""total_non_current_liabilities"": 185951192668.0, ""total_liabilities"": 572930164543.0, ""total_equity"": 677861061574.0, ""total_debt"": 255717548069.0, ""stockholders_equity"": 651136119365.0}","{""total_revenue"": 781272625076.0, ""cost_of_revenue"": 512030284353.0, ""gross_income"": 269242340723.0, ""operating_expenses"": 166934937033.0, ""operating_income"": 436177277756.0, ""non_operating_income"": -337317784817.0, ""pretax_income"": 98859492939.0, ""income_taxes"": -13696878405.0, ""minorities"": -790524521.0, ""net_income"": 85953139055.0, ""interest_expense_non_operating"": 10327901308.0, ""ebit"": 109187394247.0, ""ebitda"": null, ""diluted_shares_outstanding"": 4297656952.75}","{""net_operating_cash_flow"": 61358312408.0, ""net_investing_cash_flow"": -25128857550.0, ""net_financing_cash_flow"": -45398712691.0, ""net_increased_decreased"": -9169257833.0, ""capital_expenditure"": 24247553874.0, ""free_cash_flow"": 85605866282.0}"
INTA.JK,2024-06-30,"{""total_current_assets"": 687934000000.0, ""total_non_current_assets"": 1590506000000.0, ""total_assets"": 2278440000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 73845000000.0, ""total_current_liabilities"": 692291000000.0, ""total_non_current_liabilities"": 3582235000000.0, ""total_liabilities"": 4274526000000.0, ""total_equity"": -1996086000000.0, ""total_debt"": 3648028000000.0, ""stockholders_equity"": -1781419000000.0}","{""total_revenue"": 469168000000.0, ""cost_of_revenue"": 359737000000.0, ""gross_income"": 109431000000.0, ""operating_expenses"": 90468000000.0, ""operating_income"": 199899000000.0, ""non_operating_income"": -211794000000.0, ""pretax_income"": -11895000000.0, ""income_taxes"": -30925000000.0, ""minorities"": -13594000000.0, ""net_income"": -29226000000.0, ""interest_expense_non_operating"": 73320000000.0, ""ebit"": 61425000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3247.3333333333335}","{""net_operating_cash_flow"": -21101000000.0, ""net_investing_cash_flow"": 20005000000.0, ""net_financing_cash_flow"": -31730000000.0, ""net_increased_decreased"": -32826000000.0, ""capital_expenditure"": 807000000.0, ""free_cash_flow"": -20294000000.0}"
ASLI.JK,2024-06-30,"{""total_current_assets"": 262242915337.0, ""total_non_current_assets"": 269973337087.0, ""total_assets"": 532216252424.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 9971188176.0, ""total_current_liabilities"": 52330348079.0, ""total_non_current_liabilities"": 8788854261.0, ""total_liabilities"": 61119202340.0, ""total_equity"": 471097050084.0, ""total_debt"": 30573035572.0, ""stockholders_equity"": 469804582692.0}","{""total_revenue"": 106833808636.0, ""cost_of_revenue"": 83903398653.0, ""gross_income"": 22930409983.0, ""operating_expenses"": 20149252995.0, ""operating_income"": 43079662978.0, ""non_operating_income"": -44115871719.0, ""pretax_income"": -1036208741.0, ""income_taxes"": -2611479501.0, ""minorities"": 12030288.0, ""net_income"": -3659718530.0, ""interest_expense_non_operating"": 3670209607.0, ""ebit"": 2634000866.0, ""ebitda"": null, ""diluted_shares_outstanding"": 6202912762.711864}","{""net_operating_cash_flow"": -42294627106.0, ""net_investing_cash_flow"": -80173748441.0, ""net_financing_cash_flow"": 117513000703.0, ""net_increased_decreased"": -4955374844.0, ""capital_expenditure"": 25573748441.0, ""free_cash_flow"": -16720878665.0}"
