symbol,year,period
IPAC.JK,2020,tw4
OILS.JK,2020,tw4
RIMO.JK,2020,tw4
OKAS.JK,2020,tw4
FASW.JK,2020,tw4
CMNT.JK,2020,tw4
SEMA.JK,2020,tw4
MCOL.JK,2020,tw4
NUSA.JK,2020,tw4
SMRU.JK,2020,tw4
SOHO.JK,2020,tw4
MYRX.JK,2020,tw4
VAST.JK,2020,tw4
IKPM.JK,2020,tw4
WGSH.JK,2020,tw4
RSCH.JK,2020,tw4
TELE.JK,2020,tw4
HAJJ.JK,2020,tw4
KING.JK,2020,tw4
MUTU.JK,2020,tw4
ISAP.JK,2020,tw4
GRPM.JK,2020,tw4
PPRI.JK,2020,tw4
HUMI.JK,2020,tw4
RELF.JK,2020,tw4
MAXI.JK,2020,tw4
MENN.JK,2020,tw4
DOOH.JK,2020,tw4
NPGF.JK,2020,tw4
TAYS.JK,2020,tw4
AMMS.JK,2020,tw4
IOTF.JK,2020,tw4
LABA.JK,2020,tw4
GTRA.JK,2020,tw4
ELIT.JK,2020,tw4
CRSN.JK,2020,tw4
AEGS.JK,2020,tw4
SICO.JK,2020,tw4
FOLK.JK,2020,tw4
WINR.JK,2020,tw4
GRIA.JK,2020,tw4
GULA.JK,2020,tw4
STRK.JK,2020,tw4
WIDI.JK,2020,tw4
MSIE.JK,2020,tw4
PADA.JK,2020,tw4
CYBR.JK,2020,tw4
PTPS.JK,2020,tw4
